location,new_cases_per_million,new_deaths_per_million,stringency_index_cov,population_density_cov,population_cov,median_age_cov,aged_65_older_cov,aged_70_older_cov,gdp_per_capita_cov,cardiovasc_death_rate_cov,diabetes_prevalence_cov,life_expectancy_cov,human_development_index_cov,Population,Area_km2,Density_km2,Year_x,Meningitis,Neoplasms,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings,Protein-energy malnutrition,Cardiovascular diseases,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Acute hepatitis,Alzheimer's disease and other dementias,Parkinson's disease,Total_death_ratio,air_polution,Obesity_rate
Belgium,55577.49799999999,1678.7800000000007,56.277831325301065,375.564,11632334.0,41.8,18.571,12.849,42658.576,114.898,4.29,81.63,0.931,11482178,11787.0,376.0,2019,0.0003919117,0.2951704807,0.0011234802,0.0,0.0006706045,0.0014195913,0.0004877123,0.0019508494,0.0007141502,0.0077337244,4.35457e-05,0.0552160052,0.0014892645,0.0045723033,0.0,0.0078208159,0.0004180392,0.0032310943,0.0192646378,0.0,0.0150755371,0.0003222385,0.0029436924,0.2928625562,0.025822627,0.0644477032,0.0183327588,0.0493112021,4.35457e-05,0.0576110212,0.0115918774,0.9400829703,12.7263,22.1
Belize,26612.996999999996,612.4830000000001,71.90598591549296,16.426,404915.0,25.0,3.853,2.279,7824.362,176.957,17.11,74.62,0.716,383071,8867.0,17.0,2019,0.0005220964,0.0780534157,0.0010441929,0.0,0.0065262053,0.0297594963,0.020883857,0.0002610482,0.0039157232,0.020883857,0.0013052411,0.0292373999,0.0148797481,0.0028715303,0.0,0.0028715303,0.0,0.0033936268,0.00730935,0.0,0.0402014248,0.0002610482,0.0031325786,0.1211263708,0.0292373999,0.0193175678,0.0169681338,0.0268879659,0.0,0.0125303142,0.0031325786,0.4965137011,20.45305,24.1
Benin,261.1,3.5330000000000013,46.3894845360824,99.11,12451031.0,18.8,3.244,1.942,2064.236,235.848,0.99,61.77,0.545,11485044,44310.0,100.0,2019,0.0171962772,0.0456855019,0.0027165764,0.1154893268,0.0033434787,0.0078188643,0.0177012818,0.0001306046,0.0228471045,0.0168654121,0.011493208,0.0788242518,0.1097862577,0.0005920744,0.0,0.0458683484,0.0006443162,0.0071397201,0.006460576,8.707e-06,0.0133826218,0.0019242416,0.006817562,0.0994162495,0.0137657287,0.0164387703,0.016917654,0.0301696711,0.001436651,0.0060513482,0.0016543254,0.7185867116,46.23708,9.6
Bhutan,859.069,0.0,75.52754152823888,21.188,779900.0,28.6,4.885,2.977,8708.597,217.066,9.75,71.78,0.654,754388,14824.0,20.0,2019,0.0029162712,0.0628323886,0.0010604623,0.0,0.0027837134,0.0009279045,0.0041092912,0.0002651156,0.0141836827,0.008483698,0.0034465023,0.0213418029,0.0311510788,0.0009279045,0.0,0.0157743761,0.0002651156,0.0009279045,0.0054348691,0.0,0.0205464562,0.0002651156,0.0003976733,0.1601298006,0.0194859939,0.0756904935,0.0233301696,0.0377789679,0.0013255778,0.0107371803,0.0035790601,0.53009857,40.3737,6.4
Bolivia,13532.064999999991,774.5519999999997,83.07293918918899,10.202,11832936.0,25.4,6.704,4.393,6885.829,204.299,6.89,71.51,0.718,11353142,424162.0,10.0,2019,0.00118029,0.1236221656,0.0015326154,0.0,0.0040869743,0.0054170026,0.0064475543,0.0004932555,0.0136526082,0.0179421697,0.0049061308,0.0578694427,0.0335501837,0.0032413934,0.0005108718,0.0060599964,0.0001849708,0.0078832802,0.0065444438,0.0,0.0334444861,0.0006165694,0.0071345888,0.1400933768,0.0389759945,0.0315155047,0.0292341979,0.0513778476,0.0001673546,0.0122697311,0.0050118284,0.6449668294,27.48764,20.2
Bosnia and Herzegovina,34008.385,1241.0110000000002,56.744403973509954,68.496,3263459.0,42.5,16.569,10.711,11713.895,329.635,10.08,77.4,0.78,3323925,19772.0,65.0,2019,0.0002707642,0.2852651609,0.0015945005,0.0,0.0014440759,0.0025271328,6.01698e-05,0.0003309341,0.0036101898,0.0058665584,3.00849e-05,0.0124551547,0.0022262837,0.0027076423,0.0,0.0002406793,0.0004211888,0.0001504246,0.0110110788,0.0,0.0688944546,0.0003911039,6.01698e-05,0.5664387734,0.0197958739,0.0362222373,0.0178403544,0.0371548696,9.02547e-05,0.0324917078,0.009867852,1.1194596749,30.28742,17.9
Botswana,6175.849,17.513999999999996,61.41075812274359,4.044,2397240.0,25.8,3.941,2.242,15807.374,237.372,4.81,69.59,0.735,2254068,224710.0,4.0,2019,0.0054568008,0.0921001496,0.004746973,0.0006210993,0.0042146022,0.0208068257,0.2489720807,0.0003105496,0.0358906652,0.0254650703,0.0022625759,0.0677885494,0.0377095988,0.0012865628,0.0,0.0232468586,0.0007985562,0.0082073833,0.0178787863,0.0,0.0470704522,0.0018189336,0.0080299263,0.1561177391,0.0196977199,0.0287923878,0.0185442498,0.0348259236,0.0003549139,0.0067877278,0.0018189336,0.9216225952,25.32941,18.9
Brazil,35893.77000000001,911.5720000000005,67.2304516129031,25.04,213993441.0,33.5,8.552,5.06,14103.452,177.961,8.11,75.88,0.765,209469323,3287594.0,25.0,2019,0.0009586129,0.126994252,0.0007929562,5.63328e-05,0.0029168949,0.0314637958,0.0074287728,0.0005380263,0.0026185219,0.0212580054,0.000923763,0.0423169363,0.0141600687,0.0046331367,1.05027e-05,0.0035871601,3.62822e-05,0.0039246797,0.00644629,0.0,0.0312055241,9.07054e-05,0.0036511313,0.1900006141,0.0202110741,0.0365452081,0.0181549257,0.0374680163,0.0001131431,0.0260630049,0.0045658237,0.6391341609,11.66552,22.1
Brunei,355.58399999999966,6.795,43.62463087248331,81.347,441532.0,32.4,4.591,2.382,71809.251,201.285,12.79,75.86,0.838,428963,2226.0,74.0,2019,0.0004662407,0.123087539,0.0011656017,0.0,0.0037299254,0.001398722,0.0011656017,0.0004662407,0.0044292864,0.0142203407,0.000699361,0.0191158678,0.0053617678,0.0004662407,0.0,0.000699361,0.0002331203,0.0002331203,0.0058280085,0.0,0.039863578,0.0002331203,0.0,0.1184251322,0.0181833864,0.0216801915,0.0072267305,0.0142203407,0.000699361,0.0055948881,0.0030305644,0.4119236391,7.72029,14.1
Bulgaria,29328.152000000002,1098.52,48.279063545150464,65.18,6896655.0,44.7,20.801,13.272,18563.307,424.688,5.81,75.05,0.816,7051608,42818.0,64.0,2019,0.0005530653,0.3121132088,0.001659196,0.0,0.002268986,0.0025809716,0.0006523335,0.0009785002,0.0017159207,0.0096148283,0.0001134493,0.0282205137,0.0022122614,0.0014322974,0.0,0.0003545291,0.0016308337,0.0001559928,0.0154149238,0.0,0.0337086236,0.0006523335,5.67247e-05,1.1219994078,0.0276532672,0.0430540098,0.0383884073,0.0639145001,0.0001276305,0.0446139377,0.0141811627,1.7700218163,19.92702,25.0
Burkina Faso,312.024,3.971000000000003,44.46626262626247,70.151,21497097.0,17.6,2.409,1.358,1703.102,269.048,2.42,61.58,0.452,19751466,105393.0,72.0,2019,0.0266208088,0.0512620177,0.0036655507,0.1331799878,0.0045515609,0.0108295759,0.0149811665,0.0002936491,0.0382351366,0.0267220671,0.0105106122,0.1234946307,0.0976180705,0.0007898148,0.0,0.0757260246,0.0006986823,0.0204946813,0.0078222042,0.0035794811,0.0150621731,0.0031744479,0.0193909657,0.1121486375,0.0142875471,0.0137407522,0.0151533056,0.0322457077,0.0015087488,0.0063033296,0.0017416429,0.8858329807,53.68486,5.6
Burundi,66.75499999999995,0.164,13.903985507246361,423.062,12255429.0,17.5,2.562,1.504,702.225,293.068,6.05,61.58,0.433,11175374,10747.0,402.0,2019,0.0110868773,0.0472019997,0.002433923,0.0651432337,0.0029081801,0.001127479,0.0183260086,0.0001431719,0.0780376567,0.0170643059,0.0116416685,0.0578235681,0.0786908787,0.0007695492,8.94825e-05,0.0835408283,0.0007963939,0.0183260086,0.0071585971,0.0007158597,0.0130912845,0.0022549581,0.0177354243,0.0966768539,0.0093061762,0.0214668431,0.0170553576,0.0317036369,0.0018970282,0.00428621,0.0010379966,0.7195374401,33.32371,5.4
Cambodia,22.302000000000007,0.0,40.66802941176492,90.672,16946446.0,25.6,4.412,2.385,3645.07,270.892,4.0,69.82,0.594,16249792,69898.0,90.0,2019,0.0007938563,0.0895580694,0.001310786,0.0003507737,0.0064493133,0.0030461928,0.0087139577,0.0002276952,0.0372066301,0.0179140755,0.0029354222,0.0742532581,0.0273234267,0.000818472,0.0,0.010572443,3.07696e-05,0.0032738881,0.0048308311,1.23078e-05,0.0223449014,0.0004430826,0.0028123437,0.1865439262,0.0134955574,0.0305173137,0.0516191223,0.075004037,0.0019077167,0.0110401413,0.0027200348,0.6880703458,22.13588,3.9
Cameroon,965.2039999999998,16.45,51.149534883721046,50.885,27224262.0,18.8,3.165,1.919,3364.926,244.661,7.2,59.29,0.563,25216267,183648.0,53.0,2019,0.0110682521,0.0565428658,0.002268377,0.0898309016,0.0024151077,0.0036325757,0.0918930625,0.0003132898,0.0259792617,0.0253844076,0.0115679295,0.0674762843,0.0622138083,0.0007415848,0.0001705248,0.0708074673,0.0005076088,0.0038268948,0.0089624686,0.0024825245,0.020570055,0.0016100718,0.003565159,0.1050552011,0.0189679146,0.0165210814,0.0163822821,0.0283031584,0.0014990324,0.0059683695,0.0019907784,0.7585183009,66.15428,11.4
Canada,15320.85,413.36699999999973,59.004838709677564,4.037,38067913.0,41.4,16.984,10.797,44017.591,105.599,7.37,82.43,0.929,37064562,3855081.0,4.0,2019,0.0002401215,0.2511077832,0.0008174925,0.0,0.0007770225,0.0014892932,0.0006852907,0.0068151352,0.0004020012,0.0066883294,6.74499e-05,0.0246192036,0.0024686654,0.0036719711,0.0,0.0046999072,0.0003453433,0.0009550902,0.0126778781,2.698e-06,0.0200191223,0.0003561353,0.0008147945,0.2229730922,0.0202376599,0.0496026366,0.0146824884,0.0347285906,3.23759e-05,0.0460062094,0.0111238331,0.7391076144,7.09026,29.4
Cape Verde,21071.32100000001,201.11900000000003,71.92850174216025,135.58,561901.0,25.7,4.46,3.437,6222.554,182.219,2.42,72.98,0.665,543767,1557.0,135.0,2019,0.0033102413,0.1318579465,0.0029424367,0.0016551207,0.0062526781,0.014896086,0.0101146263,0.0001839023,0.0110341378,0.0086434079,0.0011034138,0.0540672751,0.0169190113,0.0009195115,0.0,0.0086434079,0.0003678046,0.0022068276,0.0150799883,0.0,0.0246429077,0.0005517069,0.0020229253,0.197327164,0.0193097411,0.0196775457,0.0209648618,0.0321829019,0.0007356092,0.0182063273,0.0045975574,0.630417072,50.88585,11.8
Central African Republic,1008.7449999999995,12.804999999999996,49.55311643835627,7.479,4919987.0,18.3,3.655,2.251,661.24,435.727,6.1,53.28,0.397,4666368,240534.0,7.0,2019,0.0193298085,0.0569393584,0.0035788005,0.0910343976,0.0063646931,0.0080147987,0.1188718935,0.0003000192,0.1850904172,0.0652541763,0.0181083018,0.1216577861,0.1146287648,0.0013500864,0.0,0.180675849,0.0009857774,0.0267231389,0.0132865646,0.0072861806,0.0218799717,0.0033216412,0.0259516609,0.1545098886,0.0139937527,0.0338378799,0.023680087,0.0471887344,0.002635883,0.0034287909,0.001114357,1.3710234598,46.89668,7.5
Chad,124.90100000000014,6.140000000000006,68.68718749999981,11.833,16914985.0,16.7,2.486,1.446,1768.153,280.995,6.1,54.24,0.398,15477729,495752.0,12.0,2019,0.029868723,0.0403806011,0.0030366212,0.046479687,0.0039992947,0.0079727459,0.0303339075,9.04525e-05,0.0451616642,0.0166432685,0.0209268427,0.1256450478,0.1120771658,0.0005685589,0.0,0.1962303384,0.0008592992,0.0158550392,0.0064350526,0.0017832073,0.0111127414,0.0023130008,0.0153510893,0.0893994203,0.0117394483,0.0178385343,0.0186461463,0.0332542326,0.0026425065,0.0046195408,0.0013503273,0.9126145057,59.42594,6.1
Chile,31696.93800000004,864.4340000000009,73.28150159744389,24.282,19212362.0,35.4,11.087,6.938,22767.037,127.993,8.46,80.18,0.851,18729160,291931.0,25.0,2019,0.0006033373,0.1689771458,0.0018206903,0.0,0.0019007793,0.0042340393,0.0026269197,0.000379088,0.0024347061,0.0122749766,0.0002616241,0.0251105762,0.003171525,0.0028351512,3.20356e-05,0.0023973312,0.0002028922,0.0030754182,0.0107105711,0.0,0.0204066813,0.0002028922,0.0029365973,0.1607920483,0.0268992309,0.0341125817,0.0275346038,0.0449886701,2.66963e-05,0.0256498423,0.0071225832,0.5937212347,23.68317,28.0
China,59.9150000000001,3.193999999999999,72.17956521739113,147.674,1444216102.0,38.7,10.641,5.929,15308.712,261.899,9.74,76.91,0.761,1427647786,3705387.0,149.0,2019,0.0004528428,0.1902815965,0.0007772225,0.0,0.0039592398,0.0008384421,0.0022236577,0.0008016683,0.002561276,0.0175130731,0.0001076596,0.0129768702,0.0031485357,0.0013630113,2.06634e-05,0.0003810464,0.0003478449,0.0011811737,0.0084906796,0.0,0.0121102699,0.0018971066,0.0009175232,0.3211067215,0.0137797293,0.0760182596,0.0106652356,0.0194124911,0.0002609887,0.0224645745,0.0053927867,0.7314521903,47.72902,6.2
Colombia,32044.244999999995,842.9340000000005,75.46046511627921,44.223,51265841.0,32.2,7.646,4.312,13254.949,124.24,7.44,77.29,0.767,49661048,440829.0,43.0,2019,0.0007591463,0.0995951596,0.0004027301,0.0001107508,0.0019069271,0.0343548932,0.004933444,0.0002557336,0.0018283948,0.0149171238,0.000956484,0.0159058262,0.0085680834,0.0002496927,2.81911e-05,0.0018183265,3.22184e-05,0.0026821826,0.0054992798,0.0,0.0141922096,0.00012686,0.0025915683,0.1462494307,0.0191216263,0.0357865988,0.0080223841,0.0231509412,2.61775e-05,0.0275306313,0.0039447416,0.4755477573,22.5254,22.3
Costa Rica,32947.90000000001,425.1729999999996,64.95013289036568,96.079,5139053.0,33.6,9.468,5.694,15524.995,137.973,8.78,80.28,0.81,4999441,19730.0,98.0,2019,0.0007000783,0.1209935271,0.000420047,0.0,0.0026402952,0.0100611248,0.0029203265,0.0005200581,0.0009401051,0.0168218807,0.0004000447,0.0135215117,0.0047605322,0.0016801878,0.0,0.0025802885,4.00045e-05,0.0004600514,0.0077808699,0.0,0.0115212881,0.0005600626,0.000420047,0.1332949024,0.0274430681,0.0285031867,0.0192021468,0.0355239716,6.00067e-05,0.0259028959,0.0043804897,0.4740529991,17.43615,25.7
Cote d'Ivoire,831.3139999999995,5.068999999999995,47.42577702702712,76.399,27053629.0,18.7,2.933,1.582,3601.006,303.74,2.42,57.78,0.538,25069230,124503.0,78.0,2019,0.0090110466,0.0462200076,0.0020343664,0.1172672635,0.0023175822,0.0092025164,0.0544013518,0.0001515802,0.0282657266,0.0133749621,0.0090549251,0.0677324353,0.0918656058,0.0007618902,0.0,0.0298732749,0.0005345198,0.0030156491,0.0078183494,3.98895e-05,0.0140131947,0.001463946,0.0028201903,0.08925683,0.0136980673,0.0145277697,0.0157483896,0.0264188409,0.0008775698,0.0047229213,0.0015277693,0.6780184314,55.9251,10.3
Croatia,51654.77900000002,960.3999999999999,49.818842443730055,73.726,4081657.0,44.0,19.724,13.053,22669.797,253.782,5.59,78.49,0.851,4156405,21851.0,73.0,2019,0.0004090073,0.3374069659,0.0009142516,0.0,0.0018525625,0.0011307849,0.000192474,0.0016841477,0.0012751404,0.0089500422,4.81185e-05,0.0139543668,0.0014916737,0.0064478798,0.0,0.0006977183,0.0005052443,7.21778e-05,0.0166971217,0.0,0.027283193,0.0004330666,2.40593e-05,0.5947687966,0.0222066906,0.0451832774,0.0276922004,0.0537483715,2.40593e-05,0.0521123423,0.0118371525,1.2290428868,18.22689,24.4
Cyprus,24939.576999999994,133.92,64.97685618729089,127.657,896005.0,37.3,13.416,8.563,32415.132,141.171,9.24,80.98,0.887,1189265,3572.0,129.0,2019,0.0002522566,0.1926399919,0.0007567699,0.0,0.0021862243,0.0017657965,0.0004204277,0.0014294543,0.0004204277,0.0112674635,0.0,0.0142104577,0.0021021387,0.0007567699,0.0,0.0018498821,0.0002522566,0.0005885988,0.0056337318,0.0,0.0412019188,0.0002522566,0.0005045133,0.2616742274,0.0281686588,0.0454902818,0.0117719768,0.0306071397,8.40855e-05,0.0272437178,0.0079040416,0.6914354664,15.7934,21.8
Czechia,67010.79900000003,1079.7460000000003,51.686797385620935,137.176,10724553.0,43.3,19.027,11.58,32605.906,227.485,6.82,79.38,0.9,10665677,30450.0,135.0,2019,0.0003562831,0.2880079717,0.0006750626,0.0,0.001443884,0.0009844663,0.0001781415,0.0012751183,0.0005156728,0.0071069094,2.81276e-05,0.0317466955,0.0012188631,0.0041722621,0.0,0.0027471299,0.0012657424,0.0012563666,0.0138669116,0.0,0.0322623683,0.0006750626,0.0011157285,0.4809258709,0.0123480207,0.0380847836,0.0217520182,0.0454354656,2.81276e-05,0.0480138298,0.0094227493,1.0469096336,16.96525,26.0
Democratic Republic of Congo,191.15399999999997,6.4,54.637567567567444,35.879,92377986.0,17.0,3.02,1.745,808.133,318.949,6.1,60.68,0.48,84068091,905350.0,36.0,2019,0.00731193,0.04384779,0.0016712643,0.0679925038,0.002335012,0.0034388791,0.0121782235,0.0002581241,0.0548900296,0.0351417519,0.0120366716,0.0531069511,0.0511204661,0.000799352,0.0,0.0404469753,0.0003854019,0.0075593485,0.0071132815,0.0019389045,0.0135057188,0.0015083012,0.0071715676,0.1069442626,0.0095565391,0.0237866707,0.0171206457,0.029179918,0.0012216288,0.0052148204,0.0010277383,0.6198106723,36.27272,9.6
Democratic Republic of Congo,191.15399999999997,6.4,54.637567567567444,35.879,92377986.0,17.0,3.02,1.745,808.133,318.949,6.1,60.68,0.48,84068091,905350.0,36.0,2019,0.00731193,0.04384779,0.0016712643,0.0679925038,0.002335012,0.0034388791,0.0121782235,0.0002581241,0.0548900296,0.0351417519,0.0120366716,0.0531069511,0.0511204661,0.000799352,0.0,0.0404469753,0.0003854019,0.0075593485,0.0071132815,0.0019389045,0.0135057188,0.0015083012,0.0071715676,0.1069442626,0.0095565391,0.0237866707,0.0171206457,0.029179918,0.0012216288,0.0052148204,0.0010277383,0.6198106723,36.27272,6.7
