location,new_cases_per_million,new_deaths_per_million,stringency_index_cov,population_density_cov,population_cov,median_age_cov,aged_65_older_cov,aged_70_older_cov,gdp_per_capita_cov,cardiovasc_death_rate_cov,diabetes_prevalence_cov,life_expectancy_cov,human_development_index_cov,Population,Area_km2,Density_km2,Year_x,Meningitis,Neoplasms,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings,Protein-energy malnutrition,Cardiovascular diseases,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Acute hepatitis,Alzheimer's disease and other dementias,Parkinson's disease,Total_death_ratio,air_polution,Obesity_rate,Number In Household,Households,1 Member,2-3 Members,4-5 Members,6+ Members,Year,smoking_ratio_both_sexes,smoking_ratio_males,smoking_ratio_females
Senegal,1113.035999999999,23.819999999999986,47.32808441558427,82.328,17196308.0,18.7,3.008,1.796,2470.58,241.219,2.42,67.94,0.512,15854323,75951.0,81.0,2019,0.0098585099,0.0517902909,0.0017850021,0.0425120644,0.0015894718,0.001179489,0.010110807,0.0001261486,0.0235393211,0.0114984412,0.0111452252,0.0428463581,0.0592141336,0.0005613611,0.0,0.0420074701,0.0004162902,0.0026806569,0.0071021639,1.26149e-05,0.0163930052,0.0013687119,0.0024977415,0.1007990061,0.0154342762,0.0174274234,0.0149170671,0.0275886898,0.0006748948,0.0078590552,0.0021066809,0.527042372,60.17498,8.8,8.66,1928689,6.92,11.47,15.48,66.13,2017,9.1,17.4,0.7
Sierra Leone,320.704,9.341999999999999,46.05152173913037,104.7,8141343.0,19.1,2.538,1.285,1390.3,325.721,2.42,54.7,0.452,7650150,27915.0,106.0,2019,0.0213067718,0.0496853003,0.0030587636,0.1531603955,0.0040129932,0.0019346026,0.0365744463,0.0001307164,0.0327967425,0.0195159572,0.0181695784,0.0975144278,0.0884296386,0.0006405103,9.15015e-05,0.0489402169,0.000653582,0.0154245342,0.0064181748,0.0,0.0143134448,0.0023267518,0.0149408835,0.1177623968,0.0135422181,0.0193329543,0.0155813938,0.0303784893,0.001882316,0.006339745,0.0017777429,0.8366371901,51.27564,8.7,5.9,1373151,4.00,15.87,30.74,49.38,2013,19.8,31.0,8.5
Singapore,10745.027999999998,5.309999999999998,50.43764534883741,7915.731,5453600.0,42.4,12.922,7.049,85535.383,92.243,10.99,83.62,0.938,5757499,276.0,8041.0,2019,8.68433e-05,0.1215979369,0.0002257925,0.0,0.0002952671,0.0004342163,0.0006252715,0.0002778984,0.0010073819,0.0029179336,3.47373e-05,0.0602865932,0.0005210596,0.0002257925,0.0,0.0006252715,3.47373e-05,3.47373e-05,0.0080590548,0.0,0.0031089888,5.2106e-05,1.73687e-05,0.1182805242,0.0131654387,0.0130264895,0.0043942691,0.0102822423,1.73687e-05,0.0256534999,0.0041163707,0.3894051914,19.0006,6.1,3.29,1727455,12.21,38.95,37.69,11.15,2010,16.5,27.8,5.1
Slovakia,50392.636,392.35699999999997,54.91717607973424,113.128,5449270.0,41.2,15.07,9.167,30155.152,287.959,7.29,77.54,0.86,5453014,18933.0,111.0,2019,0.0003667696,0.2549232406,0.0011369859,0.0,0.0023289872,0.0021639409,7.33539e-05,0.0003300927,0.0005684929,0.0078305319,5.50154e-05,0.033926192,0.002090587,0.0039977891,0.0,0.0003300927,0.002017233,0.0001833848,0.0127452451,0.0,0.0152392787,0.0004584621,0.0001467079,0.4913979682,0.0139005695,0.021034239,0.0310653888,0.0548137232,3.6677e-05,0.0359250866,0.006656869,0.9957429047,18.52632,20.5,2.8,1948989,20.83,47.99,26.99,4.20,2011,32.3,38.6,26.0
Slovenia,58762.99599999999,1297.424,54.81041916167673,102.619,2078723.0,44.5,19.062,12.93,31400.84,153.493,7.25,81.32,0.917,2077837,7827.0,102.0,2019,0.0002887618,0.3049324851,0.0005293967,0.0,0.0009625394,0.0009144124,9.62539e-05,0.0013475552,0.0006256506,0.006545268,4.8127e-05,0.0333519906,0.0007219046,0.0100585368,0.0,0.0002887618,0.0006737776,9.62539e-05,0.0197320579,0.0,0.0171813285,0.0002887618,4.8127e-05,0.375245989,0.0125611393,0.0307531341,0.0273842462,0.0540947148,4.8127e-05,0.0643457596,0.0099141559,0.9730792165,17.06109,20.2,2.47,851149,32.60,43.69,20.54,3.16,2015,22.7,25.1,20.3
South Africa,17607.024000000005,474.15199999999993,60.241914893616936,46.754,60041996.0,27.3,5.344,3.053,12294.876,200.38,5.52,64.13,0.709,57792518,471442.0,47.0,2019,0.003843058,0.0948271539,0.0037703843,0.0008028721,0.0026145253,0.033087328,0.248909383,0.0001989877,0.0342345353,0.0332897764,0.002386122,0.0500774166,0.0296543577,0.0010070508,0.0001176623,0.0233594252,0.000728468,0.0036354187,0.0136072977,6.57525e-05,0.0475338347,0.0008841975,0.0035246777,0.1430306255,0.0213747392,0.0308465535,0.0100774291,0.023110258,0.0002145606,0.0114253544,0.0022494261,0.8744886319,28.32529,28.3,3.36,17733119,23.84,36.32,24.66,15.17,2016,31.4,46.8,16.0
Spain,41250.537000000004,1087.5309999999993,61.44626865671634,93.105,46745211.0,45.5,19.436,13.799,34272.36,99.403,7.17,83.56,0.904,46692858,195364.0,92.0,2019,0.0003319565,0.2694951763,0.0005118556,0.0,0.0009102034,0.0007174545,0.0014541838,0.001559125,0.0008095456,0.0055040537,3.21248e-05,0.0303772367,0.0010344194,0.0009187701,0.0,0.0025978277,0.0001263577,0.001000153,0.0080504817,2.1417e-06,0.021705675,0.0002312988,0.0006467799,0.2816126612,0.0313645397,0.0782989124,0.0176001221,0.0497120994,2.99832e-05,0.0625534637,0.0131433377,0.8823319404,9.99323,23.8,2.69,17565288,19.06,53.4,25.56,1.98,2011,27.9,29.1,26.7
Sweden,43048.44,858.9389999999995,53.540746268656534,24.718,10160159.0,41.0,19.985,13.433,46949.283,133.982,4.79,82.8,0.945,9971638,173859.0,22.0,2019,0.0003108817,0.2655531619,0.0008925314,0.0,0.0009326452,0.0012034131,0.0002005689,0.0048637947,0.000792247,0.0036904669,3.00853e-05,0.0285409478,0.0012535553,0.0036503531,0.0,0.0074411045,0.0005916781,0.0012736122,0.013728938,0.0,0.0207488479,0.0003309386,0.0010730434,0.3618964106,0.0200468569,0.0449073663,0.0107204052,0.0323517561,3.00853e-05,0.0565303313,0.0126157809,0.8962018076,5.72135,20.6,2.17,4776239,40.32,38.32,14.86,?,2020,28.8,28.2,29.3
Switzerland,51895.632,903.3360000000007,49.76331189710609,214.243,8715494.0,43.1,18.436,12.644,57410.166,99.739,5.59,83.78,0.955,8525611,15940.0,207.0,2019,0.0003166928,0.2374961748,0.0004574452,0.0,0.000609927,0.0006333857,0.0004339865,0.0024866253,0.0004574452,0.0039645252,4.69175e-05,0.0228253435,0.001735946,0.003249034,4.69175e-05,0.0029557999,0.000129023,0.0011142896,0.013735086,0.0,0.0163507343,0.0001172936,0.0008914317,0.2811411405,0.0260157307,0.0360560668,0.0124917733,0.0348596716,4.69175e-05,0.0602654754,0.0113422956,0.7722730957,10.04367,19.5,2.21,3901112,37.51,43.64,17.23,1.62,2000,25.1,27.8,22.5
Tanzania,8.277999999999999,0.342,28.78285223367692,64.699,61498438.0,17.7,3.108,1.874,2683.304,217.288,5.75,65.46,0.529,56313438,365754.0,59.0,2019,0.0066857932,0.0557895258,0.0021273785,0.0302130373,0.0022552344,0.0061477333,0.0481678991,0.0003427246,0.0358173834,0.0103421141,0.0097774176,0.05858282,0.0703100386,0.0006215213,0.0,0.0279542513,0.0004297376,0.012229763,0.0057375293,3.37397e-05,0.0149697839,0.0018112906,0.0117432006,0.0967602085,0.0110666303,0.0124322014,0.0151775496,0.0257878057,0.0011311687,0.0064709244,0.0013389344,0.5822553402,24.60327,8.4,4.85,11880255,9.63,25.77,29.99,34.6,2015,13.3,23.5,3.1
