location,new_cases_per_million,new_deaths_per_million,stringency_index_cov,population_density_cov,population_cov,median_age_cov,aged_65_older_cov,aged_70_older_cov,gdp_per_capita_cov,cardiovasc_death_rate_cov,diabetes_prevalence_cov,life_expectancy_cov,human_development_index_cov,Population,Area_km2,Density_km2,Year_x,Meningitis,Neoplasms,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings,Protein-energy malnutrition,Cardiovascular diseases,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Acute hepatitis,Alzheimer's disease and other dementias,Parkinson's disease,Total_death_ratio,air_polution,Obesity_rate,Number In Household,Households,1 Member,2-3 Members,4-5 Members,6+ Members,Year,smoking_ratio_both_sexes,smoking_ratio_males,smoking_ratio_females
Albania,20298.41199999999,411.0430000000001,64.7608360128617,104.871,2872934.0,38.0,13.188,8.643,11803.431,304.195,10.08,78.57,0.795,2882740,11100.0,100.0,2019,0.0004509599,0.1632127767,0.0006244059,0.0,0.0012488119,0.0019772855,6.93784e-05,0.0010059874,0.0003815814,0.0084294803,0.0001040677,0.0158529732,0.0055849643,0.0006244059,0.0017691502,0.0002428245,0.0001387569,0.0001734461,0.0052727613,0.0,0.0060706134,0.0003815814,0.0001040677,0.4476296856,0.0114127531,0.0282717137,0.01155151,0.0182812186,3.46892e-05,0.0318100141,0.0086029264,0.7713147908,18.45981,21.7,3.3,862512,9.95,48.08,32.51,9.45,2017,29.2,50.5,7.9
Argentina,35642.693,948.224,71.53060273972548,16.177,45605823.0,31.9,11.198,7.441,18933.907,191.032,5.5,76.67,0.845,44361150,1073512.0,16.0,2019,0.0010211638,0.1920802324,0.001514839,0.0,0.0012758912,0.0064944214,0.0040057573,0.0001938633,0.0016388214,0.0142421916,0.0008498427,0.0817472045,0.0073758232,0.0018507185,0.0,0.0017064481,0.0001014401,0.0029981188,0.011336496,0.0,0.0242599662,0.0006131491,0.002829052,0.2293110075,0.0353124299,0.0436147395,0.0192172656,0.0401071658,8.11521e-05,0.0271521365,0.0068596058,0.7597909432,13.84671,28.3,3.26,13925275,17.6,42.33,28.95,11.12,2010,21.8,28.2,15.4
Australia,1102.2529999999965,35.26200000000005,59.93310850439857,3.202,25788217.0,37.9,15.504,10.129,44648.71,107.791,5.07,83.44,0.944,24898152,2969890.0,3.0,2019,0.0001847527,0.2156786576,0.0004377835,0.0,0.000787207,0.0012932687,0.0002851617,0.0045304567,0.0003815544,0.0064060979,5.22127e-05,0.0171458508,0.0019559685,0.0023696538,1.60654e-05,0.0009157306,0.0001486054,0.0006586834,0.0116394181,0.0,0.01702536,0.0001727036,0.0005462253,0.2073045421,0.0209131987,0.0449953073,0.0088962426,0.026636515,4.01636e-05,0.0451439127,0.0096513187,0.6462126185,6.7487,29.0,2.5,10220186,24.34,49.95,22.44,3.27,2011,16.2,18.7,13.6
Austria,39899.601000000024,688.0449999999996,55.35292604501594,106.749,9043072.0,44.4,19.202,13.748,45436.686,145.183,6.35,81.54,0.922,8891388,32383.0,106.0,2019,0.000348652,0.2503321191,0.0004723672,0.0,0.0006298229,0.0007872787,0.0003936393,0.0015745573,0.0005623419,0.0055221974,3.37405e-05,0.0135524397,0.0012933864,0.0058146152,0.0001237152,0.0014058547,0.0003936393,0.0001349621,0.0159480162,0.0,0.0263176008,0.000348652,2.24937e-05,0.3711231587,0.0378681034,0.0383067301,0.0203455299,0.0364060144,3.37405e-05,0.0540073158,0.0116967115,0.895799396,12.22494,20.1,2.27,3933516,36.34,44.52,17.06,2.08,2011,29.1,30.4,27.7
Azerbaijan,21392.221000000005,258.3499999999999,77.90921568627425,119.309,10223344.0,32.4,6.018,3.871,15847.419,559.812,7.11,73.0,0.756,9949537,33436.0,115.0,2019,0.0006231446,0.1197342148,0.0041509469,0.0,0.0031358243,0.0037388674,0.0003718766,0.000391978,0.0063922572,0.0080707273,0.000321623,0.0246644643,0.0183425621,0.0022614118,0.0,0.001145782,0.0012965427,0.0002914708,0.0038092225,0.0,0.0216090457,0.0008543111,0.0001809129,0.4235171948,0.0139302965,0.0201617422,0.0313381417,0.0396500862,0.0002412173,0.0094577265,0.003397143,0.7630807343,26.26906,19.9,4.55,2217398,6.77,20.86,44.69,27.68,2009,19.6,39.0,0.2
Bahamas,19830.478000000006,428.29499999999985,78.36164948453595,39.497,396914.0,34.3,8.996,5.2,27717.847,235.954,13.17,73.92,0.814,385637,5383.0,28.0,2019,0.0007779337,0.1504005062,0.0025931122,0.0,0.0062234692,0.0287835451,0.0300801012,0.0005186224,0.0018151785,0.014262117,0.0010372449,0.0243752544,0.0054455356,0.0046676019,0.0129655609,0.0010372449,0.0002593112,0.0015558673,0.0031117346,0.0,0.0378594378,0.0002593112,0.0012965561,0.225341448,0.0290428564,0.0132248721,0.0160772955,0.0308580349,0.0,0.0158179843,0.0044082907,0.6640960281,15.2567,31.6,3.4,114679,17.73,40.33,29.15,12.79,2010,10.9,18.6,3.2
Bangladesh,3087.783000000001,45.409999999999954,77.69276315789493,1265.036,166303494.0,27.5,5.098,3.262,3523.984,298.003,8.38,72.59,0.632,161376708,56977.0,1094.0,2019,0.001439489,0.0657759111,0.000871873,6.81635e-05,0.004697704,0.0024501677,0.0002224609,0.0001852808,0.0180236667,0.0053365818,0.0040885702,0.0231148599,0.0248951664,0.0001995331,8.11765e-05,0.0204038119,7.00225e-05,0.002727779,0.0045638556,9.60486e-05,0.0205079162,0.0003476338,0.0014140826,0.2012458948,0.0079162601,0.0439301315,0.0162136162,0.0258271472,0.0027494674,0.0096754979,0.0027816902,0.5119214602,63.54533,3.6,4.47,37957746,1.74,29.71,45.59,22.96,2014,39.1,60.6,17.7
Belarus,20574.691999999992,150.84000000000032,29.610844155844088,46.858,9442867.0,40.3,14.799,9.788,17167.967,443.129,5.18,74.79,0.823,9452617,80154.0,46.0,2019,0.000518375,0.2080693632,0.0072043541,0.0,0.0068235072,0.0082093668,0.0031102498,0.002486084,0.0031525661,0.0110974559,0.0001375281,0.0122188384,0.0016926529,0.0314516075,0.0,0.0001375281,0.0065484511,0.0004760586,0.0240356718,0.0,0.0041575788,0.0036920992,0.0002538979,0.7970173762,0.0052895405,0.0257917992,0.0236442458,0.0443051908,0.0002010025,0.0389839131,0.0066859791,1.2773922819,16.57188,24.5,2.48,3789941,27.00,51.73,19.09,2.19,2009,26.6,42.8,10.4
Belgium,55577.49799999999,1678.7800000000007,56.277831325301065,375.564,11632334.0,41.8,18.571,12.849,42658.576,114.898,4.29,81.63,0.931,11482178,11787.0,376.0,2019,0.0003919117,0.2951704807,0.0011234802,0.0,0.0006706045,0.0014195913,0.0004877123,0.0019508494,0.0007141502,0.0077337244,4.35457e-05,0.0552160052,0.0014892645,0.0045723033,0.0,0.0078208159,0.0004180392,0.0032310943,0.0192646378,0.0,0.0150755371,0.0003222385,0.0029436924,0.2928625562,0.025822627,0.0644477032,0.0183327588,0.0493112021,4.35457e-05,0.0576110212,0.0115918774,0.9400829703,12.7263,22.1,2.36,4883743,30.87,48.31,18.70,2.12,2011,25.0,26.9,23.1
Benin,261.1,3.5330000000000013,46.3894845360824,99.11,12451031.0,18.8,3.244,1.942,2064.236,235.848,0.99,61.77,0.545,11485044,44310.0,100.0,2019,0.0171962772,0.0456855019,0.0027165764,0.1154893268,0.0033434787,0.0078188643,0.0177012818,0.0001306046,0.0228471045,0.0168654121,0.011493208,0.0788242518,0.1097862577,0.0005920744,0.0,0.0458683484,0.0006443162,0.0071397201,0.006460576,8.707e-06,0.0133826218,0.0019242416,0.006817562,0.0994162495,0.0137657287,0.0164387703,0.016917654,0.0301696711,0.001436651,0.0060513482,0.0016543254,0.7185867116,46.23708,9.6,5.19,2335719,9.78,23.56,29.1,37.56,2018,7.2,12.4,1.9
Botswana,6175.849,17.513999999999996,61.41075812274359,4.044,2397240.0,25.8,3.941,2.242,15807.374,237.372,4.81,69.59,0.735,2254068,224710.0,4.0,2019,0.0054568008,0.0921001496,0.004746973,0.0006210993,0.0042146022,0.0208068257,0.2489720807,0.0003105496,0.0358906652,0.0254650703,0.0022625759,0.0677885494,0.0377095988,0.0012865628,0.0,0.0232468586,0.0007985562,0.0082073833,0.0178787863,0.0,0.0470704522,0.0018189336,0.0080299263,0.1561177391,0.0196977199,0.0287923878,0.0185442498,0.0348259236,0.0003549139,0.0067877278,0.0018189336,0.9216225952,25.32941,18.9,3.52,673860,27.89,32.32,20.48,19.31,2011,23.7,37.3,10.1
Brazil,35893.77000000001,911.5720000000005,67.2304516129031,25.04,213993441.0,33.5,8.552,5.06,14103.452,177.961,8.11,75.88,0.765,209469323,3287594.0,25.0,2019,0.0009586129,0.126994252,0.0007929562,5.63328e-05,0.0029168949,0.0314637958,0.0074287728,0.0005380263,0.0026185219,0.0212580054,0.000923763,0.0423169363,0.0141600687,0.0046331367,1.05027e-05,0.0035871601,3.62822e-05,0.0039246797,0.00644629,0.0,0.0312055241,9.07054e-05,0.0036511313,0.1900006141,0.0202110741,0.0365452081,0.0181549257,0.0374680163,0.0001131431,0.0260630049,0.0045658237,0.6391341609,11.66552,22.1,3.31,64124398,12.00,47.27,31.91,8.82,2010,16.5,21.5,11.5
Bulgaria,29328.152000000002,1098.52,48.279063545150464,65.18,6896655.0,44.7,20.801,13.272,18563.307,424.688,5.81,75.05,0.816,7051608,42818.0,64.0,2019,0.0005530653,0.3121132088,0.001659196,0.0,0.002268986,0.0025809716,0.0006523335,0.0009785002,0.0017159207,0.0096148283,0.0001134493,0.0282205137,0.0022122614,0.0014322974,0.0,0.0003545291,0.0016308337,0.0001559928,0.0154149238,0.0,0.0337086236,0.0006523335,5.67247e-05,1.1219994078,0.0276532672,0.0430540098,0.0383884073,0.0639145001,0.0001276305,0.0446139377,0.0141811627,1.7700218163,19.92702,25.0,2.34,2973737,30.53,50.97,16.62,1.89,2011,38.9,42.5,35.3
Burkina Faso,312.024,3.971000000000003,44.46626262626247,70.151,21497097.0,17.6,2.409,1.358,1703.102,269.048,2.42,61.58,0.452,19751466,105393.0,72.0,2019,0.0266208088,0.0512620177,0.0036655507,0.1331799878,0.0045515609,0.0108295759,0.0149811665,0.0002936491,0.0382351366,0.0267220671,0.0105106122,0.1234946307,0.0976180705,0.0007898148,0.0,0.0757260246,0.0006986823,0.0204946813,0.0078222042,0.0035794811,0.0150621731,0.0031744479,0.0193909657,0.1121486375,0.0142875471,0.0137407522,0.0151533056,0.0322457077,0.0015087488,0.0063033296,0.0017416429,0.8858329807,53.68486,5.6,5.92,3630745,6.64,19.51,27.4,46.46,2014,16.0,24.9,7.2
Burundi,66.75499999999995,0.164,13.903985507246361,423.062,12255429.0,17.5,2.562,1.504,702.225,293.068,6.05,61.58,0.433,11175374,10747.0,402.0,2019,0.0110868773,0.0472019997,0.002433923,0.0651432337,0.0029081801,0.001127479,0.0183260086,0.0001431719,0.0780376567,0.0170643059,0.0116416685,0.0578235681,0.0786908787,0.0007695492,8.94825e-05,0.0835408283,0.0007963939,0.0183260086,0.0071585971,0.0007158597,0.0130912845,0.0022549581,0.0177354243,0.0966768539,0.0093061762,0.0214668431,0.0170553576,0.0317036369,0.0018970282,0.00428621,0.0010379966,0.7195374401,33.32371,5.4,4.83,2548469,6.04,25.17,31.72,37.07,2016,12.6,18.8,6.4
Cambodia,22.302000000000007,0.0,40.66802941176492,90.672,16946446.0,25.6,4.412,2.385,3645.07,270.892,4.0,69.82,0.594,16249792,69898.0,90.0,2019,0.0007938563,0.0895580694,0.001310786,0.0003507737,0.0064493133,0.0030461928,0.0087139577,0.0002276952,0.0372066301,0.0179140755,0.0029354222,0.0742532581,0.0273234267,0.000818472,0.0,0.010572443,3.07696e-05,0.0032738881,0.0048308311,1.23078e-05,0.0223449014,0.0004430826,0.0028123437,0.1865439262,0.0134955574,0.0305173137,0.0516191223,0.075004037,0.0019077167,0.0110401413,0.0027200348,0.6880703458,22.13588,3.9,4.61,3315050,3.37,25.65,43.08,27.9,2014,21.8,37.4,6.3
Cameroon,965.2039999999998,16.45,51.149534883721046,50.885,27224262.0,18.8,3.165,1.919,3364.926,244.661,7.2,59.29,0.563,25216267,183648.0,53.0,2019,0.0110682521,0.0565428658,0.002268377,0.0898309016,0.0024151077,0.0036325757,0.0918930625,0.0003132898,0.0259792617,0.0253844076,0.0115679295,0.0674762843,0.0622138083,0.0007415848,0.0001705248,0.0708074673,0.0005076088,0.0038268948,0.0089624686,0.0024825245,0.020570055,0.0016100718,0.003565159,0.1050552011,0.0189679146,0.0165210814,0.0163822821,0.0283031584,0.0014990324,0.0059683695,0.0019907784,0.7585183009,66.15428,11.4,4.99,4877120,15.14,22.69,24.44,37.72,2011,9.3,17.5,1.2
Canada,15320.85,413.36699999999973,59.004838709677564,4.037,38067913.0,41.4,16.984,10.797,44017.591,105.599,7.37,82.43,0.929,37064562,3855081.0,4.0,2019,0.0002401215,0.2511077832,0.0008174925,0.0,0.0007770225,0.0014892932,0.0006852907,0.0068151352,0.0004020012,0.0066883294,6.74499e-05,0.0246192036,0.0024686654,0.0036719711,0.0,0.0046999072,0.0003453433,0.0009550902,0.0126778781,2.698e-06,0.0200191223,0.0003561353,0.0008147945,0.2229730922,0.0202376599,0.0496026366,0.0146824884,0.0347285906,3.23759e-05,0.0460062094,0.0111238331,0.7391076144,7.09026,29.4,2.45,15618491,28.20,49.59,19.20,3.02,2016,17.5,22.7,12.4
Chad,124.90100000000014,6.140000000000006,68.68718749999981,11.833,16914985.0,16.7,2.486,1.446,1768.153,280.995,6.1,54.24,0.398,15477729,495752.0,12.0,2019,0.029868723,0.0403806011,0.0030366212,0.046479687,0.0039992947,0.0079727459,0.0303339075,9.04525e-05,0.0451616642,0.0166432685,0.0209268427,0.1256450478,0.1120771658,0.0005685589,0.0,0.1962303384,0.0008592992,0.0158550392,0.0064350526,0.0017832073,0.0111127414,0.0023130008,0.0153510893,0.0893994203,0.0117394483,0.0178385343,0.0186461463,0.0332542326,0.0026425065,0.0046195408,0.0013503273,0.9126145057,59.42594,6.1,5.78,2811841,7.73,18.49,25.67,48.11,2015,11.8,21.3,2.3
Chile,31696.93800000004,864.4340000000009,73.28150159744389,24.282,19212362.0,35.4,11.087,6.938,22767.037,127.993,8.46,80.18,0.851,18729160,291931.0,25.0,2019,0.0006033373,0.1689771458,0.0018206903,0.0,0.0019007793,0.0042340393,0.0026269197,0.000379088,0.0024347061,0.0122749766,0.0002616241,0.0251105762,0.003171525,0.0028351512,3.20356e-05,0.0023973312,0.0002028922,0.0030754182,0.0107105711,0.0,0.0204066813,0.0002028922,0.0029365973,0.1607920483,0.0268992309,0.0341125817,0.0275346038,0.0449886701,2.66963e-05,0.0256498423,0.0071225832,0.5937212347,23.68317,28.0,3.58,5440715,11.43,39.22,37.11,12.24,2002,44.7,49.2,40.3
China,59.9150000000001,3.193999999999999,72.17956521739113,147.674,1444216102.0,38.7,10.641,5.929,15308.712,261.899,9.74,76.91,0.761,1427647786,3705387.0,149.0,2019,0.0004528428,0.1902815965,0.0007772225,0.0,0.0039592398,0.0008384421,0.0022236577,0.0008016683,0.002561276,0.0175130731,0.0001076596,0.0129768702,0.0031485357,0.0013630113,2.06634e-05,0.0003810464,0.0003478449,0.0011811737,0.0084906796,0.0,0.0121102699,0.0018971066,0.0009175232,0.3211067215,0.0137797293,0.0760182596,0.0106652356,0.0194124911,0.0002609887,0.0224645745,0.0053927867,0.7314521903,47.72902,6.2,2.7,522689264,14.53,51.23,27.6,6.64,2020,24.7,47.7,1.8
Colombia,32044.244999999995,842.9340000000005,75.46046511627921,44.223,51265841.0,32.2,7.646,4.312,13254.949,124.24,7.44,77.29,0.767,49661048,440829.0,43.0,2019,0.0007591463,0.0995951596,0.0004027301,0.0001107508,0.0019069271,0.0343548932,0.004933444,0.0002557336,0.0018283948,0.0149171238,0.000956484,0.0159058262,0.0085680834,0.0002496927,2.81911e-05,0.0018183265,3.22184e-05,0.0026821826,0.0054992798,0.0,0.0141922096,0.00012686,0.0025915683,0.1462494307,0.0191216263,0.0357865988,0.0080223841,0.0231509412,2.61775e-05,0.0275306313,0.0039447416,0.4755477573,22.5254,22.3,3.53,14282545,11.13,42.41,34.80,11.66,2015,7.9,12.2,3.7
Costa Rica,32947.90000000001,425.1729999999996,64.95013289036568,96.079,5139053.0,33.6,9.468,5.694,15524.995,137.973,8.78,80.28,0.81,4999441,19730.0,98.0,2019,0.0007000783,0.1209935271,0.000420047,0.0,0.0026402952,0.0100611248,0.0029203265,0.0005200581,0.0009401051,0.0168218807,0.0004000447,0.0135215117,0.0047605322,0.0016801878,0.0,0.0025802885,4.00045e-05,0.0004600514,0.0077808699,0.0,0.0115212881,0.0005600626,0.000420047,0.1332949024,0.0274430681,0.0285031867,0.0192021468,0.0355239716,6.00067e-05,0.0259028959,0.0043804897,0.4740529991,17.43615,25.7,3.46,1476628,11.23,42.7,35.83,10.25,2011,9.8,14.7,5.0
Cote d'Ivoire,831.3139999999995,5.068999999999995,47.42577702702712,76.399,27053629.0,18.7,2.933,1.582,3601.006,303.74,2.42,57.78,0.538,25069230,124503.0,78.0,2019,0.0090110466,0.0462200076,0.0020343664,0.1172672635,0.0023175822,0.0092025164,0.0544013518,0.0001515802,0.0282657266,0.0133749621,0.0090549251,0.0677324353,0.0918656058,0.0007618902,0.0,0.0298732749,0.0005345198,0.0030156491,0.0078183494,3.98895e-05,0.0140131947,0.001463946,0.0028201903,0.08925683,0.0136980673,0.0145277697,0.0157483896,0.0264188409,0.0008775698,0.0047229213,0.0015277693,0.6780184314,55.9251,10.3,5.09,5197095,12.18,24.73,25.87,37.22,2012,13.0,24.3,1.6
Croatia,51654.77900000002,960.3999999999999,49.818842443730055,73.726,4081657.0,44.0,19.724,13.053,22669.797,253.782,5.59,78.49,0.851,4156405,21851.0,73.0,2019,0.0004090073,0.3374069659,0.0009142516,0.0,0.0018525625,0.0011307849,0.000192474,0.0016841477,0.0012751404,0.0089500422,4.81185e-05,0.0139543668,0.0014916737,0.0064478798,0.0,0.0006977183,0.0005052443,7.21778e-05,0.0166971217,0.0,0.027283193,0.0004330666,2.40593e-05,0.5947687966,0.0222066906,0.0451832774,0.0276922004,0.0537483715,2.40593e-05,0.0521123423,0.0118371525,1.2290428868,18.22689,24.4,2.8,1451732,24.56,44.43,25.28,5.73,2011,36.6,37.9,35.3
Cyprus,24939.576999999994,133.92,64.97685618729089,127.657,896005.0,37.3,13.416,8.563,32415.132,141.171,9.24,80.98,0.887,1189265,3572.0,129.0,2019,0.0002522566,0.1926399919,0.0007567699,0.0,0.0021862243,0.0017657965,0.0004204277,0.0014294543,0.0004204277,0.0112674635,0.0,0.0142104577,0.0021021387,0.0007567699,0.0,0.0018498821,0.0002522566,0.0005885988,0.0056337318,0.0,0.0412019188,0.0002522566,0.0005045133,0.2616742274,0.0281686588,0.0454902818,0.0117719768,0.0306071397,8.40855e-05,0.0272437178,0.0079040416,0.6914354664,15.7934,21.8,2.75,318823,18.72,52.55,25.82,2.92,2011,36.7,50.1,23.3
Democratic Republic of Congo,191.15399999999997,6.4,54.637567567567444,35.879,92377986.0,17.0,3.02,1.745,808.133,318.949,6.1,60.68,0.48,84068091,905350.0,36.0,2019,0.00731193,0.04384779,0.0016712643,0.0679925038,0.002335012,0.0034388791,0.0121782235,0.0002581241,0.0548900296,0.0351417519,0.0120366716,0.0531069511,0.0511204661,0.000799352,0.0,0.0404469753,0.0003854019,0.0075593485,0.0071132815,0.0019389045,0.0135057188,0.0015083012,0.0071715676,0.1069442626,0.0095565391,0.0237866707,0.0171206457,0.029179918,0.0012216288,0.0052148204,0.0010277383,0.6198106723,36.27272,9.6,5.3,19225670,7.25,21.19,27.81,43.74,2013,16.1,30.1,2.0
Democratic Republic of Congo,191.15399999999997,6.4,54.637567567567444,35.879,92377986.0,17.0,3.02,1.745,808.133,318.949,6.1,60.68,0.48,84068091,905350.0,36.0,2019,0.00731193,0.04384779,0.0016712643,0.0679925038,0.002335012,0.0034388791,0.0121782235,0.0002581241,0.0548900296,0.0351417519,0.0120366716,0.0531069511,0.0511204661,0.000799352,0.0,0.0404469753,0.0003854019,0.0075593485,0.0071132815,0.0019389045,0.0135057188,0.0015083012,0.0071715676,0.1069442626,0.0095565391,0.0237866707,0.0171206457,0.029179918,0.0012216288,0.0052148204,0.0010277383,0.6198106723,36.27272,6.7,5.3,19225670,7.25,21.19,27.81,43.74,2013,16.1,30.1,2.0
Dominican Republic,15591.511000000006,220.3850000000002,75.64287581699386,222.873,10953714.0,27.6,6.981,4.419,14600.861,266.653,8.2,74.08,0.756,10627141,18607.0,221.0,2019,0.0020419415,0.1017018594,0.0013550211,4.70493e-05,0.0030017481,0.018753868,0.012816241,0.000498723,0.0070668113,0.0251055293,0.0021736796,0.0189138358,0.0311184353,0.0014208902,0.0,0.0052507067,9.40987e-05,0.004366179,0.0063140218,0.0,0.0279002603,0.0004610836,0.004008604,0.2553838328,0.0214545003,0.0182269154,0.0277120629,0.0368396354,0.0004046243,0.0153286759,0.0041968014,0.6539576355,18.14536,27.8,3.48,3004226,14.33,39.85,33.08,12.73,2013,9.4,11.2,7.5
Egypt,1324.235999999998,73.19800000000008,61.08658385093153,97.999,104258327.0,25.3,5.159,2.891,10550.206,525.432,17.31,71.99,0.707,98423598,386872.0,98.0,2019,0.0007762366,0.0588619002,0.0015199607,0.0,0.000987568,0.0005202005,5.68969e-05,8.33134e-05,0.0009062867,0.0299623267,0.0007630284,0.0217132887,0.0054214641,0.0001524025,0.0,0.0086097239,4.26727e-05,0.0008290695,0.0031547312,0.0006929233,0.020805986,0.000181867,0.0006441545,0.2680993231,0.0223330588,0.0229213323,0.0636381938,0.0703245984,0.0013777184,0.0070288022,0.0024780643,0.6148870924,67.91512,32.0,4.13,24496076,6.48,30.40,43.12,20.00,2014,21.4,42.3,0.4
El Salvador,7093.962000000003,203.57200000000003,76.45920138888872,307.811,6518500.0,27.6,8.273,5.417,7292.458,167.295,8.87,73.32,0.673,6420746,8124.0,305.0,2019,0.0008098747,0.0919675066,0.0006541296,0.0,0.0033173715,0.0474555449,0.0105906697,0.0001713197,0.0013861318,0.0199198037,0.0006852786,0.0358836808,0.0075224904,0.0136121254,0.0,0.0047969504,4.67235e-05,0.0045633327,0.0082700671,0.0,0.0351516786,0.0001713197,0.0045321836,0.1509949155,0.0635907416,0.0235798146,0.0233617714,0.0378772186,9.34471e-05,0.0263988016,0.0047502268,0.6221551203,22.34945,24.6,4.07,1662356,8.82,34.09,36.82,20.28,2007,12.7,22.8,2.5
Estonia,21121.532,172.816,39.98915915915922,31.033,1325188.0,42.7,19.452,13.491,29481.252,255.569,4.02,78.74,0.892,1322920,17462.0,29.0,2019,0.0004535422,0.2896622623,0.0040818795,0.0,0.0031747952,0.0043842409,0.0025700723,0.0096755662,0.0018141687,0.0061984096,0.0,0.0169322408,0.000831494,0.0161763372,0.0,0.0002267711,0.0040062891,0.0001511807,0.015722795,0.0,0.0105826505,0.0004535422,7.55904e-05,0.6199165482,0.0263810359,0.0229038793,0.0209385299,0.0441447707,0.0,0.0572219031,0.0095999758,1.1882804705,5.94962,21.2,2.3,578440,33.90,47.28,17.14,1.67,2011,30.5,36.9,24.1
Ethiopia,1054.18,16.286,69.89098639455761,104.957,117876226.0,19.8,3.526,2.063,1729.927,182.634,7.47,66.6,0.485,109224414,426370.0,99.0,2019,0.0103301081,0.0362556305,0.0019235626,0.0119973177,0.0015976282,0.0065690442,0.0243452897,0.0001986735,0.0273510279,0.0084340118,0.0069892799,0.0423907058,0.0708962375,0.0005923584,0.0,0.0464850285,0.0006353891,0.008229845,0.0051774139,0.0001510651,0.0117858266,0.0024014778,0.0078764442,0.0704741707,0.0090272858,0.012567703,0.0208488187,0.032213494,0.0014886782,0.0058897089,0.0011261219,0.4862493471,33.83347,4.5,4.61,21850103,7.52,27.01,32.00,33.47,2016,4.6,8.3,0.9
Fiji,54.278,2.216,54.223798219584594,49.562,902899.0,28.6,6.224,3.284,8702.975,412.82,14.49,67.44,0.743,883483,7055.0,48.0,2019,0.0014714488,0.0916825791,0.0029428976,0.0,0.0066781138,0.0039615929,0.0010186953,0.0003395651,0.0045275348,0.0101869532,0.0016978255,0.0244486878,0.0169782554,0.0002263767,0.0,0.0122243439,0.0001131884,0.002150579,0.009507823,0.0,0.1952499369,0.0002263767,0.0020373906,0.2990436715,0.0330510038,0.0466336081,0.0098473881,0.0204870948,0.0002263767,0.008262751,0.0049802882,0.8102023468,10.85933,30.2,4.57,194497,5.94,30.10,34.31,29.64,2014,26.7,42.3,11.1
Finland,6564.467000000001,106.678,42.05517751479277,18.136,5548361.0,42.8,21.228,13.264,40585.721,153.507,5.76,81.91,0.938,5522576,130059.0,16.0,2019,0.0002897199,0.2624680946,0.0012675244,0.0,0.0018831792,0.0015029218,9.05375e-05,0.0052692801,0.0009959121,0.0048165928,3.6215e-05,0.0140333062,0.0006880847,0.0102307329,0.0,0.0009234821,0.0017745342,0.0002172899,0.0158078404,0.0,0.008981316,0.0001991824,0.000108645,0.459622466,0.0127838893,0.0369936059,0.0208598306,0.0468802964,3.6215e-05,0.0593925733,0.0131641466,0.9813174142,5.63829,22.2,2.07,2652262,41.01,44.46,12.97,1.57,2010,19.7,21.0,18.3
France,40457.188,958.7970000000005,57.91755102040823,122.578,67422000.0,42.0,19.718,13.079,38605.671,86.06,4.77,82.66,0.901,64990511,212934.0,118.0,2019,0.0003477431,0.3036027829,0.0010509226,0.0,0.0014525197,0.0008278132,0.0007031796,0.0028296439,0.0016202365,0.0065194133,7.07796e-05,0.0355374956,0.0017571796,0.0057669957,0.0,0.0024726687,0.0028850366,0.0072841403,0.0169470894,0.0,0.019704415,0.0003277402,0.0070487213,0.2561850914,0.0195413143,0.0339434168,0.016497793,0.0457959163,2.9235e-05,0.070791873,0.0123048732,0.8738460296,11.36678,21.6,2.22,30217950,35.46,46.84,16.08,1.62,2015,34.6,36.0,33.2
Gambia,1526.768000000001,49.85400000000004,65.53589655172382,207.566,2486937.0,17.5,2.339,1.417,1561.767,331.43,1.91,62.05,0.496,2280094,4361.0,202.0,2019,0.0092978623,0.0469278898,0.0019736028,0.0279374447,0.0016227401,0.0006578676,0.0472787525,0.0001315735,0.0316653612,0.0113591808,0.0127626317,0.0536381395,0.0501295122,0.0006140098,0.0,0.024253386,0.0004824363,0.0050875096,0.0056576615,0.0,0.0144730875,0.0013595931,0.0047366468,0.11416196,0.0135959307,0.0185957246,0.0156572492,0.0274111506,0.0009210147,0.0067541075,0.0021490342,0.5512930607,58.2145,10.3,8.23,283790,8.39,12.96,17.23,61.42,2013,14.4,27.3,1.5
Georgia,57143.963,629.4260000000002,68.77564516129033,65.032,3979773.0,38.7,14.864,10.244,9745.079,496.218,7.11,73.77,0.812,4002942,26911.0,57.0,2019,0.0005246141,0.2080219998,0.0029478319,0.0,0.0019985301,0.0031227033,0.0005745774,0.0006495223,0.0043717846,0.0173122668,0.0004746509,0.0191109439,0.006944892,0.0010492283,0.0,0.0003747244,0.000599559,0.0002498163,0.0078192489,0.0,0.0343247541,0.0004996325,9.99265e-05,0.7421791273,0.017637028,0.030527547,0.0390212998,0.053435698,0.000199853,0.0429933784,0.0075944143,1.2446595529,18.24743,21.7,3.34,1113542,17.48,39.28,30.60,12.64,2014,29.7,54.2,5.2
