location,new_cases_per_million,new_deaths_per_million,total_deaths_per_million,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,people_vaccinated_per_hundred,population_density_cov,population_cov,median_age_cov,gdp_per_capita_cov,diabetes_prevalence_cov,life_expectancy_cov,Population,Area_km2,Density_km2,Year_x,Meningitis,Neoplasms,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings,Protein-energy malnutrition,Cardiovascular diseases,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Acute hepatitis,Alzheimer's disease and other dementias,Parkinson's disease,Total_death_ratio,air_polution,Obesity_rate
Benin,1741.5400000000002,9.399999999999997,9.396999999999998,14.24,10.6,13.65,99.11,12451031.0,18.8,2064.236,0.99,61.77,11485044,44310.0,100.0,2019,0.0171962772,0.0456855019,0.0027165764,0.1154893268,0.0033434787,0.0078188643,0.0177012818,0.0001306046,0.0228471045,0.0168654121,0.011493208,0.0788242518,0.1097862577,0.0005920744,0.0,0.0458683484,0.0006443162,0.0071397201,0.006460576,8.707e-06,0.0133826218,0.0019242416,0.006817562,0.0994162495,0.0137657287,0.0164387703,0.016917654,0.0301696711,0.001436651,0.0060513482,0.0016543254,0.7185867116,46.23708,9.6
Bolivia,37080.22999999999,887.7920000000003,886.846,82.76,38.82,47.62,10.202,11832936.0,25.4,6885.829,6.89,71.51,11353142,424162.0,10.0,2019,0.00118029,0.1236221656,0.0015326154,0.0,0.0040869743,0.0054170026,0.0064475543,0.0004932555,0.0136526082,0.0179421697,0.0049061308,0.0578694427,0.0335501837,0.0032413934,0.0005108718,0.0060599964,0.0001849708,0.0078832802,0.0065444438,0.0,0.0334444861,0.0006165694,0.0071345888,0.1400933768,0.0389759945,0.0315155047,0.0292341979,0.0513778476,0.0001673546,0.0122697311,0.0050118284,0.6449668294,27.48764,20.2
Bosnia and Herzegovina,54901.86900000003,2866.902000000003,2866.897,47.61,22.08,27.05,68.496,3263459.0,42.5,11713.895,10.08,77.4,3323925,19772.0,65.0,2019,0.0002707642,0.2852651609,0.0015945005,0.0,0.0014440759,0.0025271328,6.01698e-05,0.0003309341,0.0036101898,0.0058665584,3.00849e-05,0.0124551547,0.0022262837,0.0027076423,0.0,0.0002406793,0.0004211888,0.0001504246,0.0110110788,0.0,0.0688944546,0.0003911039,6.01698e-05,0.5664387734,0.0197958739,0.0362222373,0.0178403544,0.0371548696,9.02547e-05,0.0324917078,0.009867852,1.1194596749,30.28742,17.9
Botswana,85391.533,1001.9799999999997,1001.986,47.06,43.13,48.77,4.044,2397240.0,25.8,15807.374,4.81,69.59,2254068,224710.0,4.0,2019,0.0054568008,0.0921001496,0.004746973,0.0006210993,0.0042146022,0.0208068257,0.2489720807,0.0003105496,0.0358906652,0.0254650703,0.0022625759,0.0677885494,0.0377095988,0.0012865628,0.0,0.0232468586,0.0007985562,0.0082073833,0.0178787863,0.0,0.0470704522,0.0018189336,0.0080299263,0.1561177391,0.0196977199,0.0287923878,0.0185442498,0.0348259236,0.0003549139,0.0067877278,0.0018189336,0.9216225952,25.32941,18.9
Brazil,67586.13699999997,1980.4069999999992,1979.033,154.81,67.03,77.66,25.04,213993441.0,33.5,14103.452,8.11,75.88,209469323,3287594.0,25.0,2019,0.0009586129,0.126994252,0.0007929562,5.63328e-05,0.0029168949,0.0314637958,0.0074287728,0.0005380263,0.0026185219,0.0212580054,0.000923763,0.0423169363,0.0141600687,0.0046331367,1.05027e-05,0.0035871601,3.62822e-05,0.0039246797,0.00644629,0.0,0.0312055241,9.07054e-05,0.0036511313,0.1900006141,0.0202110741,0.0365452081,0.0181549257,0.0374680163,0.0001131431,0.0260630049,0.0045658237,0.6391341609,11.66552,22.1
Brunei,34681.53899999999,215.16999999999973,215.15900000000002,203.47,90.75,91.93,81.347,441532.0,32.4,71809.251,12.79,75.86,428963,2226.0,74.0,2019,0.0004662407,0.123087539,0.0011656017,0.0,0.0037299254,0.001398722,0.0011656017,0.0004662407,0.0044292864,0.0142203407,0.000699361,0.0191158678,0.0053617678,0.0004662407,0.0,0.000699361,0.0002331203,0.0002331203,0.0058280085,0.0,0.039863578,0.0002331203,0.0,0.1184251322,0.0181833864,0.0216801915,0.0072267305,0.0142203407,0.000699361,0.0055948881,0.0030305644,0.4119236391,7.72029,14.1
Bulgaria,78961.18800000005,3385.888999999999,3380.045,53.66,27.77,27.61,65.18,6896655.0,44.7,18563.307,5.81,75.05,7051608,42818.0,64.0,2019,0.0005530653,0.3121132088,0.001659196,0.0,0.002268986,0.0025809716,0.0006523335,0.0009785002,0.0017159207,0.0096148283,0.0001134493,0.0282205137,0.0022122614,0.0014322974,0.0,0.0003545291,0.0016308337,0.0001559928,0.0154149238,0.0,0.0337086236,0.0006523335,5.67247e-05,1.1219994078,0.0276532672,0.0430540098,0.0383884073,0.0639145001,0.0001276305,0.0446139377,0.0141811627,1.7700218163,19.92702,25.0
Burkina Faso,502.6010000000002,10.861,10.791999999999998,4.9,3.02,4.52,70.151,21497097.0,17.6,1703.102,2.42,61.58,19751466,105393.0,72.0,2019,0.0266208088,0.0512620177,0.0036655507,0.1331799878,0.0045515609,0.0108295759,0.0149811665,0.0002936491,0.0382351366,0.0267220671,0.0105106122,0.1234946307,0.0976180705,0.0007898148,0.0,0.0757260246,0.0006986823,0.0204946813,0.0078222042,0.0035794811,0.0150621731,0.0031744479,0.0193909657,0.1121486375,0.0142875471,0.0137407522,0.0151533056,0.0322457077,0.0015087488,0.0063033296,0.0017416429,0.8858329807,53.68486,5.6
Burundi,2165.9059999999995,2.938,2.938,0.06,0.03,0.03,423.062,12255429.0,17.5,702.225,6.05,61.58,11175374,10747.0,402.0,2019,0.0110868773,0.0472019997,0.002433923,0.0651432337,0.0029081801,0.001127479,0.0183260086,0.0001431719,0.0780376567,0.0170643059,0.0116416685,0.0578235681,0.0786908787,0.0007695492,8.94825e-05,0.0835408283,0.0007963939,0.0183260086,0.0071585971,0.0007158597,0.0130912845,0.0022549581,0.0177354243,0.0966768539,0.0093061762,0.0214668431,0.0170553576,0.0317036369,0.0018970282,0.00428621,0.0010379966,0.7195374401,33.32371,5.4
Cameroon,3031.0799999999995,51.538000000000004,51.535,3.75,2.42,3.06,50.885,27224262.0,18.8,3364.926,7.2,59.29,25216267,183648.0,53.0,2019,0.0110682521,0.0565428658,0.002268377,0.0898309016,0.0024151077,0.0036325757,0.0918930625,0.0003132898,0.0259792617,0.0253844076,0.0115679295,0.0674762843,0.0622138083,0.0007415848,0.0001705248,0.0708074673,0.0005076088,0.0038268948,0.0089624686,0.0024825245,0.020570055,0.0016100718,0.003565159,0.1050552011,0.0189679146,0.0165210814,0.0163822821,0.0283031584,0.0014990324,0.0059683695,0.0019907784,0.7585183009,66.15428,11.4
Canada,41880.659000000014,380.90299999999957,378.19200000000006,180.61,77.27,83.34,4.037,38067913.0,41.4,44017.591,7.37,82.43,37064562,3855081.0,4.0,2019,0.0002401215,0.2511077832,0.0008174925,0.0,0.0007770225,0.0014892932,0.0006852907,0.0068151352,0.0004020012,0.0066883294,6.74499e-05,0.0246192036,0.0024686654,0.0036719711,0.0,0.0046999072,0.0003453433,0.0009550902,0.0126778781,2.698e-06,0.0200191223,0.0003561353,0.0008147945,0.2229730922,0.0202376599,0.0496026366,0.0146824884,0.0347285906,3.23759e-05,0.0460062094,0.0111238331,0.7391076144,7.09026,29.4
Cape Verde,53141.03199999984,425.3589999999991,425.34200000000004,101.64,45.55,53.89,135.58,561901.0,25.7,6222.554,2.42,72.98,543767,1557.0,135.0,2019,0.0033102413,0.1318579465,0.0029424367,0.0016551207,0.0062526781,0.014896086,0.0101146263,0.0001839023,0.0110341378,0.0086434079,0.0011034138,0.0540672751,0.0169190113,0.0009195115,0.0,0.0086434079,0.0003678046,0.0022068276,0.0150799883,0.0,0.0246429077,0.0005517069,0.0020229253,0.197327164,0.0193097411,0.0196775457,0.0209648618,0.0321829019,0.0007356092,0.0182063273,0.0045975574,0.630417072,50.88585,11.8
Central African Republic,1463.4209999999998,7.723000000000002,7.724,8.88,6.81,7.62,7.479,4919987.0,18.3,661.24,6.1,53.28,4666368,240534.0,7.0,2019,0.0193298085,0.0569393584,0.0035788005,0.0910343976,0.0063646931,0.0080147987,0.1188718935,0.0003000192,0.1850904172,0.0652541763,0.0181083018,0.1216577861,0.1146287648,0.0013500864,0.0,0.180675849,0.0009857774,0.0267231389,0.0132865646,0.0072861806,0.0218799717,0.0033216412,0.0259516609,0.1545098886,0.0139937527,0.0338378799,0.023680087,0.0471887344,0.002635883,0.0034287909,0.001114357,1.3710234598,46.89668,7.5
Chad,210.57299999999952,4.545000000000002,4.553000000000001,1.69,0.48,1.21,11.833,16914985.0,16.7,1768.153,6.1,54.24,15477729,495752.0,12.0,2019,0.029868723,0.0403806011,0.0030366212,0.046479687,0.0039992947,0.0079727459,0.0303339075,9.04525e-05,0.0451616642,0.0166432685,0.0209268427,0.1256450478,0.1120771658,0.0005685589,0.0,0.1962303384,0.0008592992,0.0158550392,0.0064350526,0.0017832073,0.0111127414,0.0023130008,0.0153510893,0.0893994203,0.0117394483,0.0178385343,0.0186461463,0.0332542326,0.0026425065,0.0046195408,0.0013503273,0.9126145057,59.42594,6.1
Chile,62143.847999999976,1168.7669999999996,1165.448,230.65,86.1,90.06,24.282,19212362.0,35.4,22767.037,8.46,80.18,18729160,291931.0,25.0,2019,0.0006033373,0.1689771458,0.0018206903,0.0,0.0019007793,0.0042340393,0.0026269197,0.000379088,0.0024347061,0.0122749766,0.0002616241,0.0251105762,0.003171525,0.0028351512,3.20356e-05,0.0023973312,0.0002028922,0.0030754182,0.0107105711,0.0,0.0204066813,0.0002028922,0.0029365973,0.1607920483,0.0268992309,0.0341125817,0.0275346038,0.0449886701,2.66963e-05,0.0256498423,0.0071225832,0.5937212347,23.68317,28.0
China,10.546999999999992,0.002,0.0030000000000001137,196.32,83.6,87.24,147.674,1444216102.0,38.7,15308.712,9.74,76.91,1427647786,3705387.0,149.0,2019,0.0004528428,0.1902815965,0.0007772225,0.0,0.0039592398,0.0008384421,0.0022236577,0.0008016683,0.002561276,0.0175130731,0.0001076596,0.0129768702,0.0031485357,0.0013630113,2.06634e-05,0.0003810464,0.0003478449,0.0011811737,0.0084906796,0.0,0.0121102699,0.0018971066,0.0009175232,0.3211067215,0.0137797293,0.0760182596,0.0106652356,0.0194124911,0.0002609887,0.0224645745,0.0053927867,0.7314521903,47.72902,6.2
Colombia,68321.51100000006,1686.2589999999998,1680.9830000000002,126.19,55.25,74.81,44.223,51265841.0,32.2,13254.949,7.44,77.29,49661048,440829.0,43.0,2019,0.0007591463,0.0995951596,0.0004027301,0.0001107508,0.0019069271,0.0343548932,0.004933444,0.0002557336,0.0018283948,0.0149171238,0.000956484,0.0159058262,0.0085680834,0.0002496927,2.81911e-05,0.0018183265,3.22184e-05,0.0026821826,0.0054992798,0.0,0.0141922096,0.00012686,0.0025915683,0.1462494307,0.0191216263,0.0357865988,0.0080223841,0.0231509412,2.61775e-05,0.0275306313,0.0039447416,0.4755477573,22.5254,22.3
Comoros,6406.6280000000115,165.46700000000013,162.079,65.46,27.7,37.75,437.352,888456.0,20.4,1413.89,11.88,64.32,832322,863.0,372.0,2019,0.0084102066,0.0653593201,0.0019223329,0.0209053708,0.0016820413,0.0080497692,0.0002402916,0.0002402916,0.0395279711,0.0181420172,0.003123791,0.054065614,0.0456554074,0.0007208749,0.0009611665,0.0334005349,0.000600729,0.0079296234,0.0049259782,0.0,0.0195837669,0.0014417497,0.0074490402,0.1373266596,0.0140570596,0.0200643501,0.0193434752,0.0359235969,0.0014417497,0.0102123938,0.0021626246,0.584869798,17.0261,7.8
Costa Rica,78075.66900000004,1005.6290000000005,1005.6320000000001,150.93,68.21,76.76,96.079,5139053.0,33.6,15524.995,8.78,80.28,4999441,19730.0,98.0,2019,0.0007000783,0.1209935271,0.000420047,0.0,0.0026402952,0.0100611248,0.0029203265,0.0005200581,0.0009401051,0.0168218807,0.0004000447,0.0135215117,0.0047605322,0.0016801878,0.0,0.0025802885,4.00045e-05,0.0004600514,0.0077808699,0.0,0.0115212881,0.0005600626,0.000420047,0.1332949024,0.0274430681,0.0285031867,0.0192021468,0.0355239716,6.00067e-05,0.0259028959,0.0043804897,0.4740529991,17.43615,25.7
Cote d'Ivoire,1790.5620000000001,21.310999999999986,21.291,26.29,7.99,18.3,76.399,27053629.0,18.7,3601.006,2.42,57.78,25069230,124503.0,78.0,2019,0.0090110466,0.0462200076,0.0020343664,0.1172672635,0.0023175822,0.0092025164,0.0544013518,0.0001515802,0.0282657266,0.0133749621,0.0090549251,0.0677324353,0.0918656058,0.0007618902,0.0,0.0298732749,0.0005345198,0.0030156491,0.0078183494,3.98895e-05,0.0140131947,0.001463946,0.0028201903,0.08925683,0.0136980673,0.0145277697,0.0157483896,0.0264188409,0.0008775698,0.0047229213,0.0015277693,0.6780184314,55.9251,10.3
Croatia,123292.58000000003,2101.364999999996,2087.8779999999997,115.88,47.86,55.35,73.726,4081657.0,44.0,22669.797,5.59,78.49,4156405,21851.0,73.0,2019,0.0004090073,0.3374069659,0.0009142516,0.0,0.0018525625,0.0011307849,0.000192474,0.0016841477,0.0012751404,0.0089500422,4.81185e-05,0.0139543668,0.0014916737,0.0064478798,0.0,0.0006977183,0.0005052443,7.21778e-05,0.0166971217,0.0,0.027283193,0.0004330666,2.40593e-05,0.5947687966,0.0222066906,0.0451832774,0.0276922004,0.0537483715,2.40593e-05,0.0521123423,0.0118371525,1.2290428868,18.22689,24.4
Cyprus,160399.76700000017,571.3929999999999,569.194,172.0,67.84,71.53,127.657,896005.0,37.3,32415.132,9.24,80.98,1189265,3572.0,129.0,2019,0.0002522566,0.1926399919,0.0007567699,0.0,0.0021862243,0.0017657965,0.0004204277,0.0014294543,0.0004204277,0.0112674635,0.0,0.0142104577,0.0021021387,0.0007567699,0.0,0.0018498821,0.0002522566,0.0005885988,0.0056337318,0.0,0.0412019188,0.0002522566,0.0005045133,0.2616742274,0.0281686588,0.0454902818,0.0117719768,0.0306071397,8.40855e-05,0.0272437178,0.0079040416,0.6914354664,15.7934,21.8
Czechia,162590.18399999995,2276.8149999999982,2266.015,144.45,62.08,63.67,137.176,10724553.0,43.3,32605.906,6.82,79.38,10665677,30450.0,135.0,2019,0.0003562831,0.2880079717,0.0006750626,0.0,0.001443884,0.0009844663,0.0001781415,0.0012751183,0.0005156728,0.0071069094,2.81276e-05,0.0317466955,0.0012188631,0.0041722621,0.0,0.0027471299,0.0012657424,0.0012563666,0.0138669116,0.0,0.0322623683,0.0006750626,0.0011157285,0.4809258709,0.0123480207,0.0380847836,0.0217520182,0.0454354656,2.81276e-05,0.0480138298,0.0094227493,1.0469096336,16.96525,26.0
Democratic Republic of Congo,616.4300000000003,6.647000000000006,6.603000000000001,0.36,0.13,0.28,35.879,92377986.0,17.0,808.133,6.1,60.68,84068091,905350.0,36.0,2019,0.00731193,0.04384779,0.0016712643,0.0679925038,0.002335012,0.0034388791,0.0121782235,0.0002581241,0.0548900296,0.0351417519,0.0120366716,0.0531069511,0.0511204661,0.000799352,0.0,0.0404469753,0.0003854019,0.0075593485,0.0071132815,0.0019389045,0.0135057188,0.0015083012,0.0071715676,0.1069442626,0.0095565391,0.0237866707,0.0171206457,0.029179918,0.0012216288,0.0052148204,0.0010277383,0.6198106723,36.27272,9.6
Democratic Republic of Congo,616.4300000000003,6.647000000000006,6.603000000000001,0.36,0.13,0.28,35.879,92377986.0,17.0,808.133,6.1,60.68,84068091,905350.0,36.0,2019,0.00731193,0.04384779,0.0016712643,0.0679925038,0.002335012,0.0034388791,0.0121782235,0.0002581241,0.0548900296,0.0351417519,0.0120366716,0.0531069511,0.0511204661,0.000799352,0.0,0.0404469753,0.0003854019,0.0075593485,0.0071132815,0.0019389045,0.0135057188,0.0015083012,0.0071715676,0.1069442626,0.0095565391,0.0237866707,0.0171206457,0.029179918,0.0012216288,0.0052148204,0.0010277383,0.6198106723,36.27272,6.7
Denmark,109484.58899999996,324.2409999999993,330.621,208.48,78.4,82.61,136.52,5813302.0,42.3,46682.515,6.41,80.9,5752126,16639.0,133.0,2019,0.0005389312,0.3214115963,0.0013038657,0.0,0.000556316,0.0007475497,0.000417237,0.0034422055,0.0004693917,0.0051111537,1.73849e-05,0.0429927995,0.0019123364,0.0142034441,0.0,0.0064671741,0.0002433883,0.001408175,0.0116130975,0.0,0.0249299129,0.0001738488,0.0008344741,0.2665101564,0.0196970651,0.0794836553,0.016602557,0.0466610085,3.47698e-05,0.0469913211,0.0104309259,0.9252057413,9.78493,19.7
Djibouti,7798.875999999983,127.72700000000005,127.72000000000001,6.46,2.6,3.85,41.285,1002197.0,25.4,2705.406,6.05,67.11,958923,8958.0,41.0,2019,0.0114712026,0.0782127449,0.0028156588,0.010115515,0.0028156588,0.0113669189,0.0941681449,0.000312851,0.0455719594,0.0167896692,0.0139740104,0.0618402103,0.0660115567,0.0012514039,0.0,0.0331622038,0.0008342693,0.0214824339,0.0078212745,0.0,0.0215867176,0.0020856732,0.020856732,0.1293117383,0.0141825777,0.0152254143,0.0235681071,0.0372292666,0.0014599712,0.0060484523,0.0015642549,0.7531365918,43.98848,13.5
Dominican Republic,22509.272000000004,167.15300000000022,167.158,128.6,52.03,63.34,222.873,10953714.0,27.6,14600.861,8.2,74.08,10627141,18607.0,221.0,2019,0.0020419415,0.1017018594,0.0013550211,4.70493e-05,0.0030017481,0.018753868,0.012816241,0.000498723,0.0070668113,0.0251055293,0.0021736796,0.0189138358,0.0311184353,0.0014208902,0.0,0.0052507067,9.40987e-05,0.004366179,0.0063140218,0.0,0.0279002603,0.0004610836,0.004008604,0.2553838328,0.0214545003,0.0182269154,0.0277120629,0.0368396354,0.0004046243,0.0153286759,0.0041968014,0.6539576355,18.14536,27.8
Ecuador,18785.282,606.2030000000011,1096.9070000000002,154.1,70.94,79.52,66.939,17888474.0,28.1,10581.936,5.55,77.01,17084358,98984.0,67.0,2019,0.0006906903,0.1031762505,0.0011882214,5.8533e-06,0.0033832117,0.0111622573,0.0070649421,0.0003921716,0.004302181,0.0280256361,0.0015394199,0.0318185793,0.0126724106,0.0020428043,8.19463e-05,0.0028330008,8.19463e-05,0.0042963277,0.0098218499,0.0,0.0289797252,0.0004155848,0.0036056374,0.1256353912,0.0404697677,0.0214816384,0.0228571656,0.0404346479,7.02397e-05,0.0154410251,0.0043197409,0.5282902641,20.60601,19.9
Egypt,2360.5330000000026,134.89499999999992,134.38799999999998,50.66,19.78,31.75,97.999,104258327.0,25.3,10550.206,17.31,71.99,98423598,386872.0,98.0,2019,0.0007762366,0.0588619002,0.0015199607,0.0,0.000987568,0.0005202005,5.68969e-05,8.33134e-05,0.0009062867,0.0299623267,0.0007630284,0.0217132887,0.0054214641,0.0001524025,0.0,0.0086097239,4.26727e-05,0.0008290695,0.0031547312,0.0006929233,0.020805986,0.000181867,0.0006441545,0.2680993231,0.0223330588,0.0229213323,0.0636381938,0.0703245984,0.0013777184,0.0070288022,0.0024780643,0.6148870924,67.91512,32.0
El Salvador,11571.681999999997,383.0710000000001,383.064,147.59,63.77,68.78,307.811,6518500.0,27.6,7292.458,8.87,73.32,6420746,8124.0,305.0,2019,0.0008098747,0.0919675066,0.0006541296,0.0,0.0033173715,0.0474555449,0.0105906697,0.0001713197,0.0013861318,0.0199198037,0.0006852786,0.0358836808,0.0075224904,0.0136121254,0.0,0.0047969504,4.67235e-05,0.0045633327,0.0082700671,0.0,0.0351516786,0.0001713197,0.0045321836,0.1509949155,0.0635907416,0.0235798146,0.0233617714,0.0378772186,9.34471e-05,0.0263988016,0.0047502268,0.6221551203,22.34945,24.6
Equatorial Guinea,5816.293,61.388,61.384,31.22,14.03,17.19,45.194,1449891.0,22.4,22604.873,7.78,58.74,1308975,10830.0,47.0,2019,0.0042017609,0.0459901832,0.0010695391,0.0586718616,0.0010695391,0.0042017609,0.1618059932,0.0003819783,0.014744361,0.0215435742,0.0042781566,0.0277316221,0.0346072308,0.0005347696,0.0,0.009243874,0.000229187,0.0023682652,0.0058824653,0.0,0.0170362306,0.0007639565,0.0022154739,0.073339827,0.0106189958,0.0119941175,0.0096258523,0.0178765828,0.000229187,0.0049657175,0.0012223304,0.5484443935,47.03413,8.0
Estonia,160733.42300000007,1281.3240000000014,1276.045,112.15,61.64,63.56,31.033,1325188.0,42.7,29481.252,4.02,78.74,1322920,17462.0,29.0,2019,0.0004535422,0.2896622623,0.0040818795,0.0,0.0031747952,0.0043842409,0.0025700723,0.0096755662,0.0018141687,0.0061984096,0.0,0.0169322408,0.000831494,0.0161763372,0.0,0.0002267711,0.0040062891,0.0001511807,0.015722795,0.0,0.0105826505,0.0004535422,7.55904e-05,0.6199165482,0.0263810359,0.0229038793,0.0209385299,0.0441447707,0.0,0.0572219031,0.0095999758,1.1882804705,5.94962,21.2
Eswatini,48301.37400000002,927.2069999999999,917.8,34.09,25.7,28.5,79.492,1172369.0,21.5,7738.975,3.94,60.19,1136281,6704.0,65.0,2019,0.0064244672,0.0861582654,0.0046643392,0.0007920576,0.0045763328,0.020681504,0.2922692538,0.0003520256,0.0560600767,0.0349385407,0.0022881664,0.0634526143,0.0387228159,0.000880064,0.0,0.0423310783,0.0009680704,0.0080965888,0.0198894464,0.0,0.0600203647,0.0019361408,0.007920576,0.1336817213,0.0236737216,0.0280740415,0.016721216,0.0305382207,0.0005280384,0.004840352,0.0014961088,0.9929762092,23.36699,16.5
Ethiopia,2508.480000000001,42.39000000000001,42.358000000000004,9.26,1.33,7.93,104.957,117876226.0,19.8,1729.927,7.47,66.6,109224414,426370.0,99.0,2019,0.0103301081,0.0362556305,0.0019235626,0.0119973177,0.0015976282,0.0065690442,0.0243452897,0.0001986735,0.0273510279,0.0084340118,0.0069892799,0.0423907058,0.0708962375,0.0005923584,0.0,0.0464850285,0.0006353891,0.008229845,0.0051774139,0.0001510651,0.0117858266,0.0024014778,0.0078764442,0.0704741707,0.0090272858,0.012567703,0.0208488187,0.032213494,0.0014886782,0.0058897089,0.0011261219,0.4862493471,33.83347,4.5
Fiji,59013.258000000016,770.8639999999991,770.85,140.33,67.07,73.26,49.562,902899.0,28.6,8702.975,14.49,67.44,883483,7055.0,48.0,2019,0.0014714488,0.0916825791,0.0029428976,0.0,0.0066781138,0.0039615929,0.0010186953,0.0003395651,0.0045275348,0.0101869532,0.0016978255,0.0244486878,0.0169782554,0.0002263767,0.0,0.0122243439,0.0001131884,0.002150579,0.009507823,0.0,0.1952499369,0.0002263767,0.0020373906,0.2990436715,0.0330510038,0.0466336081,0.0098473881,0.0204870948,0.0002263767,0.008262751,0.0049802882,0.8102023468,10.85933,30.2
Finland,42202.18299999998,201.10600000000025,200.60000000000002,173.33,73.63,77.05,18.136,5548361.0,42.8,40585.721,5.76,81.91,5522576,130059.0,16.0,2019,0.0002897199,0.2624680946,0.0012675244,0.0,0.0018831792,0.0015029218,9.05375e-05,0.0052692801,0.0009959121,0.0048165928,3.6215e-05,0.0140333062,0.0006880847,0.0102307329,0.0,0.0009234821,0.0017745342,0.0002172899,0.0158078404,0.0,0.008981316,0.0001991824,0.000108645,0.459622466,0.0127838893,0.0369936059,0.0208598306,0.0468802964,3.6215e-05,0.0593925733,0.0131641466,0.9813174142,5.63829,22.2
France,114010.74600000007,875.4939999999996,873.187,183.95,73.47,78.76,122.578,67422000.0,42.0,38605.671,4.77,82.66,64990511,212934.0,118.0,2019,0.0003477431,0.3036027829,0.0010509226,0.0,0.0014525197,0.0008278132,0.0007031796,0.0028296439,0.0016202365,0.0065194133,7.07796e-05,0.0355374956,0.0017571796,0.0057669957,0.0,0.0024726687,0.0028850366,0.0072841403,0.0169470894,0.0,0.019704415,0.0003277402,0.0070487213,0.2561850914,0.0195413143,0.0339434168,0.016497793,0.0457959163,2.9235e-05,0.070791873,0.0123048732,0.8738460296,11.36678,21.6
Gabon,14141.914000000002,98.3,98.29599999999999,17.24,7.6,9.64,7.859,2278829.0,23.1,16562.413,7.2,66.47,2119275,103347.0,8.0,2019,0.0040579915,0.0677590214,0.0014155784,0.0337379528,0.0011796487,0.003586132,0.052612332,0.0004718595,0.0223661394,0.024489507,0.0037748758,0.0328886058,0.0239232756,0.000896533,0.0,0.0126458341,0.0002831157,0.0032086445,0.0081159831,9.43719e-05,0.0289721721,0.0010852768,0.0029727147,0.1198994939,0.0173172429,0.014533272,0.0187328214,0.0284531267,0.0004246735,0.0078800533,0.0020289958,0.5398072454,37.43801,15.0
Gambia,2561.3790000000013,88.055,88.06,11.85,10.03,10.58,207.566,2486937.0,17.5,1561.767,1.91,62.05,2280094,4361.0,202.0,2019,0.0092978623,0.0469278898,0.0019736028,0.0279374447,0.0016227401,0.0006578676,0.0472787525,0.0001315735,0.0316653612,0.0113591808,0.0127626317,0.0536381395,0.0501295122,0.0006140098,0.0,0.024253386,0.0004824363,0.0050875096,0.0056576615,0.0,0.0144730875,0.0013595931,0.0047366468,0.11416196,0.0135959307,0.0185957246,0.0156572492,0.0274111506,0.0009210147,0.0067541075,0.0021490342,0.5512930607,58.2145,10.3
Georgia,177480.229,2832.313000000001,2821.266,63.14,28.87,34.27,65.032,3979773.0,38.7,9745.079,7.11,73.77,4002942,26911.0,57.0,2019,0.0005246141,0.2080219998,0.0029478319,0.0,0.0019985301,0.0031227033,0.0005745774,0.0006495223,0.0043717846,0.0173122668,0.0004746509,0.0191109439,0.006944892,0.0010492283,0.0,0.0003747244,0.000599559,0.0002498163,0.0078192489,0.0,0.0343247541,0.0004996325,9.99265e-05,0.7421791273,0.017637028,0.030527547,0.0390212998,0.053435698,0.000199853,0.0429933784,0.0075944143,1.2446595529,18.24743,21.7
Germany,64727.67400000002,929.2079999999983,925.2750000000001,179.02,70.64,73.65,237.016,83900471.0,46.6,45229.245,8.31,81.33,83124418,137891.0,233.0,2019,0.0002598514,0.3297322334,0.0008156448,0.0,0.0005594024,0.0007422608,0.0005064697,0.0020186608,0.0005557934,0.0053750752,4.21056e-05,0.0301908881,0.0013209115,0.0076740387,1.203e-06,0.0051693595,0.0001804524,0.0009407585,0.0140319779,0.0,0.0269030455,0.0001190986,0.0007410578,0.4382406623,0.0423702215,0.054334215,0.0246522027,0.0582500319,4.33086e-05,0.059617861,0.0154888302,1.1208776223,11.92769,22.3
Ghana,2774.9730000000004,30.286000000000005,30.253,24.44,7.36,18.2,126.719,31732128.0,21.1,4227.63,4.97,64.07,29767102,92098.0,125.0,2019,0.0117142744,0.0621793818,0.002055961,0.0725532502,0.0018308803,0.0026001859,0.0491179827,0.000194846,0.0343432827,0.0195047539,0.0050995895,0.0547785942,0.0537976455,0.0007760245,0.0,0.0220444704,0.0004400831,0.0066281225,0.0069371886,6.71883e-05,0.0207376586,0.001454626,0.00624179,0.1332007395,0.0157186951,0.0199481965,0.0205764068,0.0343634392,0.0009574328,0.0065239807,0.0016461125,0.6680327833,54.4758,10.9
