location,new_cases_per_million,new_deaths_per_million,total_deaths_per_million,total_vaccinations_per_hundred,people_fully_vaccinated_per_hundred,people_vaccinated_per_hundred,population_density_cov,population_cov,median_age_cov,gdp_per_capita_cov,diabetes_prevalence_cov,life_expectancy_cov,Population,Area_km2,Density_km2,Year_x,Meningitis,Neoplasms,"Fire, heat, and hot substances",Malaria,Drowning,Interpersonal violence,HIV/AIDS,Drug use disorders,Tuberculosis,Road injuries,Maternal disorders,Lower respiratory infections,Neonatal disorders,Alcohol use disorders,Exposure to forces of nature,Diarrheal diseases,Environmental heat and cold exposure,Nutritional deficiencies,Self-harm,Conflict and terrorism,Diabetes mellitus,Poisonings,Protein-energy malnutrition,Cardiovascular diseases,Chronic kidney disease,Chronic respiratory diseases,Cirrhosis and other chronic liver diseases,Digestive diseases,Acute hepatitis,Alzheimer's disease and other dementias,Parkinson's disease,Total_death_ratio,air_polution,Obesity_rate
Turkey,85388.78199999995,720.4370000000004,718.062,154.8,60.68,66.92,104.914,85042736.0,31.6,25129.341,12.13,77.69,82340088,302533.0,105.0,2019,0.0004262808,0.1272964391,0.0005088651,0.0,0.0008428458,0.0019492328,0.0002744714,0.000418994,0.0010116579,0.0094109688,0.000344911,0.0180568182,0.0084321017,0.0002914741,0.0,0.0008889959,5.34369e-05,0.0012666977,0.0031394186,0.0003752729,0.0239239482,0.0005501573,0.000835559,0.2145528433,0.0233094237,0.0400546086,0.0089251787,0.0171435328,0.0001578818,0.0239506667,0.0046611561,0.5330538389,26.85069,32.01
Uganda,2232.9799999999996,64.25400000000008,64.086,20.72,2.99,17.73,213.759,47123533.0,16.4,1697.707,2.5,63.37,42729036,93262.0,177.0,2019,0.0092232364,0.0506634411,0.0014416426,0.05286101,0.001757587,0.0055653022,0.0485899097,0.0001076551,0.0324978078,0.01301925,0.0049638377,0.0386084067,0.0724448827,0.0006108259,0.0,0.0256383037,0.00035573,0.0092138751,0.0050714928,0.0001427601,0.0117788756,0.0012754793,0.0089494179,0.0658779196,0.0079243538,0.0128250027,0.0121439669,0.0214257115,0.0009127283,0.0043389699,0.0009759172,0.5212052994,35.2285,5.3
Ukraine,63275.185000000005,1901.454999999998,1900.0699999999997,65.45,31.65,33.85,77.39,43466822.0,41.4,7894.393,7.11,72.06,44246156,233011.0,73.0,2019,0.0009017733,0.2242409488,0.0049676632,0.0,0.0077656464,0.0119309799,0.0150137336,0.0033381431,0.0091375169,0.0157753817,0.0001830668,0.0197395679,0.0029494088,0.017438803,0.0,0.0001875869,0.0061768078,0.0003141516,0.0309405409,0.0005130389,0.0063756951,0.0034782683,0.0001514256,1.0156272106,0.0060118217,0.0275300752,0.0455203385,0.0683449202,0.000162726,0.0369975643,0.0081046589,1.5898194636,14.70064,24.1
United Arab Emirates,55275.18500000001,149.39399999999972,149.13299999999998,224.27,90.68,98.9,112.442,9991083.0,34.0,67293.483,17.26,77.97,9630959,32278.0,115.0,2019,0.0005606918,0.056827155,0.0019728046,0.0,0.0018066737,0.0009033368,0.0016613091,0.0083584615,0.0012355987,0.0397987366,0.0001245982,0.006219526,0.0008618041,0.0007891218,0.0,0.0006229909,0.0001245982,7.26823e-05,0.0068944328,0.0,0.0137577161,0.0004360936,3.11495e-05,0.0895134119,0.0148790998,0.0184612976,0.0052538901,0.0076212556,0.0007164396,0.0014328791,0.0009344864,0.2818722414,43.0844,31.7
United Kingdom,152773.925,1093.0209999999995,1086.5,195.45,69.54,75.93,272.898,68207114.0,40.8,39753.244,4.28,81.32,67141684,93627.0,277.0,2019,0.0003946877,0.2919185048,0.0005704355,0.0,0.0004468163,0.0005049024,0.0003470273,0.003952835,0.0005808612,0.0040153893,5.95755e-05,0.0623710898,0.0022102514,0.0026243012,0.0,0.0021134412,0.0001906416,0.0002368126,0.0083673802,2.9788e-06,0.009484421,0.0002010673,0.0001757478,0.2801731932,0.011581479,0.0772679458,0.0149400483,0.0494700133,3.27665e-05,0.048293397,0.0117750994,0.8843031104,10.02183,27.8
United States,103423.61000000004,1423.1860000000001,1415.3790000000001,154.98,62.35,73.3,35.608,332915074.0,38.3,54225.446,10.79,78.86,327096265,3717792.0,34.0,2019,0.0003503556,0.2365954867,0.001105485,0.0,0.0011051792,0.0054140025,0.002156246,0.0200910273,0.0002989945,0.0126452071,0.0003026632,0.0250449206,0.00336109,0.0042935373,3.21006e-05,0.0035851831,0.0004212827,0.0018618372,0.0138641143,9.4773e-06,0.0237602835,0.0004671408,0.0017456635,0.2927135227,0.0326980193,0.0687834207,0.0205707026,0.0395427933,4.00494e-05,0.0439989738,0.0098475597,0.8667063196,7.67611,36.2
Uruguay,112944.855,1715.0110000000045,1712.695,199.93,76.79,79.46,19.751,3485152.0,35.6,20551.409,6.93,77.91,3449285,68037.0,20.0,2019,0.0004058812,0.2923504436,0.0019424315,0.0,0.0020583976,0.0061462013,0.0051314983,0.0004348727,0.0016235249,0.0162352488,0.0002899152,0.0462414674,0.0042907443,0.0032180582,0.0,0.0047836001,0.0001739491,0.0038848631,0.0193083494,0.0,0.0259474065,0.0004638643,0.0030151176,0.2900021309,0.028672609,0.0624767162,0.0136550039,0.0448208832,2.89915e-05,0.0434002989,0.010118039,0.9311205076,9.57094,27.9
Uzbekistan,3586.808,25.63200000000003,25.666,115.03,36.66,55.44,76.134,33935765.0,28.2,6253.104,7.57,71.72,32476244,172741.0,73.0,2019,0.0005388554,0.0687825846,0.0021061549,0.0,0.0049174406,0.0029991153,0.0018013167,0.0005788847,0.00752858,0.0151772477,0.0007020516,0.0332150479,0.0161872167,0.0004803511,0.0,0.000495747,0.0005480929,0.0001262461,0.0116793063,0.0,0.0251075833,0.001133136,2.77126e-05,0.3306847922,0.0122273992,0.0118147899,0.0401585848,0.0462461115,0.0004002926,0.0034455955,0.0016750706,0.6407853076,36.352,16.6
Venezuela,11522.440999999999,149.73200000000014,149.661,104.68,40.44,64.08,36.253,28704947.0,29.0,16745.022,6.47,72.06,28887118,352143.0,32.0,2019,0.0008792847,0.1203685324,0.0006785031,0.0023089877,0.0018139573,0.0378853993,0.0064042387,0.0003115576,0.0028594061,0.0214870864,0.0017204901,0.019230025,0.0115553237,0.0006508091,0.0,0.0049087624,3.80793e-05,0.0019108864,0.007996644,0.0,0.0373695984,0.0002838636,0.0018243426,0.2129322835,0.0360195157,0.0244468832,0.0162425341,0.0297745175,7.26968e-05,0.021854032,0.003873699,0.6277019397,22.21524,25.6
Vietnam,17620.487,329.61099999999965,329.626,153.75,69.71,79.0,308.127,98168829.0,32.6,6171.884,6.0,75.4,95545962,127782.0,289.0,2019,0.0007818227,0.1178113629,0.000636343,6.17504e-05,0.0063822687,0.0013260634,0.0066973003,0.0012308212,0.0195518467,0.0252789333,0.0002449083,0.0223400336,0.0067695169,0.0010466167,5.2331e-06,0.0017499431,8.58226e-05,0.0009984723,0.008492248,0.0,0.0307611116,0.0009785866,9.94286e-05,0.2513565147,0.0224865599,0.0379178766,0.0247388791,0.0327653826,0.0007054197,0.0203671611,0.0044575405,0.648125768,20.19471,2.1
Yemen,263.20899999999955,45.08000000000011,45.063,1.79,0.71,1.09,53.508,30490639.0,20.3,1479.147,5.35,66.12,28498683,203848.0,54.0,2019,0.0016807794,0.0444967931,0.0029439957,0.0178569655,0.0029580314,0.0028773259,0.0012176001,0.0009158318,0.0036106932,0.0411141806,0.0059827326,0.0220676864,0.0666065867,0.0002877326,0.0,0.02320809,0.0001508842,0.0035440234,0.0054739372,0.0470267345,0.0063687154,0.0015790203,0.003301907,0.1956300928,0.0093899076,0.0201342637,0.0097758903,0.0171130715,0.0018351725,0.0060739649,0.0014491898,0.5666718002,44.64506,17.1
Zambia,12329.233999999999,176.7589999999999,176.632,9.14,6.43,4.26,22.995,18920657.0,17.7,3689.251,3.94,63.89,17351708,290583.0,23.0,2019,0.0119008457,0.0564151956,0.0018787776,0.027530431,0.0020689606,0.0093132042,0.1299007567,0.0003457873,0.0406645847,0.0131687324,0.0046335496,0.0471999644,0.0567725091,0.0007895476,2.30525e-05,0.0416327891,0.0004841022,0.0109441676,0.0080568437,5.7631e-06,0.0148285114,0.0017808045,0.010534986,0.1046409956,0.0111285875,0.0137623339,0.0264700167,0.0376216566,0.0015157009,0.0043972616,0.0011699136,0.6915803332,25.92371,8.1
Zimbabwe,13197.183,307.1169999999991,306.58299999999997,48.1,20.77,27.33,42.729,15092171.0,19.6,1899.775,1.82,61.49,14438802,150871.0,37.0,2019,0.0100423844,0.0855541893,0.0045848679,0.0143225179,0.005727622,0.0099315719,0.1435160618,0.0008795744,0.0724783123,0.0176884481,0.0089619624,0.0893218149,0.0596240602,0.0003670665,0.0045710163,0.0321010012,0.0002562539,0.0199739563,0.016642655,7.61836e-05,0.0239632069,0.0028049419,0.0197731086,0.1233481836,0.0158738931,0.0200224368,0.0143017405,0.0307296963,0.0009419064,0.0056237353,0.0016067815,0.8556111511,20.84664,15.5
